Symbol,Market Cap,Short Float,Shs Float,Shs Outstand,source
AACG,74.41M,0.15%,29.97M,33.68M,FINVIZ
AACIU,N/A,N/A,N/A,N/A,YAHOO
AADI,556.53M,1.06%,13.46M,20.87M,FINVIZ
AAL,12.91B,14.20%,634.96M,648.56M,FINVIZ
AAME,85.27M,4.43%,4.05M,21.79M,FINVIZ
AAOI,208.16M,17.44%,25.78M,26.85M,FINVIZ
AAPL,2489.37B,0.62%,16.36B,16.63B,FINVIZ
AATC,36.73M,0.86%,3.13M,5.34M,FINVIZ
AAWW,2.34B,12.90%,27.12M,29.01M,FINVIZ
AAXJ,Not Found,Not Found,Not Found,Not Found,YAHOO
ABCB,3.60B,2.51%,65.94M,69.50M,FINVIZ
ABCL,4.47B,5.29%,190.90M,272.20M,FINVIZ
ABCM,5.22B,0.06%,193.73M,219.60M,FINVIZ
ABEO,86.43M,3.41%,85.25M,96.51M,FINVIZ
ABGI,188.47M,0.03%,15.06M,19.33M,FINVIZ
ABIO,40.94M,2.07%,14.35M,14.41M,FINVIZ
ABNB,109.77B,4.65%,335.62M,611.74M,FINVIZ
ABOS,575.63M,2.67%,35.91M,40.97M,FINVIZ
ABSI,1.38B,2.98%,76.78M,94.22M,FINVIZ
ABUS,407.59M,3.46%,80.17M,96.87M,FINVIZ
ABVC,66.42M,4.97%,1.81M,24.42M,FINVIZ
ACAHU,-,0.00%,33.03M,-,FINVIZ
ACB,1.70B,20.46%,197.58M,197.84M,FINVIZ
ACBI,558.73M,2.46%,18.47M,20.33M,FINVIZ
ACCD,2.74B,6.47%,64.22M,64.40M,FINVIZ
ACER,34.31M,2.92%,12.12M,14.31M,FINVIZ
ACET,289.13M,1.43%,27.48M,31.82M,FINVIZ
ACEV,286.06M,2.49%,17.25M,28.75M,FINVIZ
ACGL,16.45B,1.06%,384.74M,397.74M,FINVIZ
ACGLN,-,0.01%,348.74M,-,FINVIZ
ACHC,5.59B,3.30%,88.67M,88.84M,FINVIZ
ACHL,272.74M,2.21%,39.85M,40.62M,FINVIZ
ACHV,79.42M,4.89%,9.38M,9.45M,FINVIZ
ACIU,468.64M,3.84%,27.89M,72.72M,FINVIZ
ACIW,3.62B,2.12%,116.15M,117.72M,FINVIZ
ACKIU,N/A,N/A,N/A,N/A,YAHOO
ACLS,1.85B,3.32%,32.94M,33.68M,FINVIZ
ACMR,2.05B,11.89%,13.19M,19.12M,FINVIZ
ACNB,241.70M,0.45%,8.40M,8.72M,FINVIZ
