open,high,low,close,volume,datetime,symbol,date_only,close_yesterday,diff_percent,gap_up,pre_open,pre_high,pre_low,pre_close,daily_open,daily_high,daily_low,daily_close,first_fifteen_open,first_fifteen_high,first_fifteen_low,first_fifteen_close,first_thirty_open,first_thirty_high,first_thirty_low,first_thirty_close,first_hour_open,first_hour_high,first_hour_low,first_hour_close,ten_thirty_to_close_open,ten_thirty_to_close_high,ten_thirty_to_close_low,ten_thirty_to_close_close,second_fifteen_open,second_fifteen_high,second_fifteen_low,second_fifteen_close,second_thirty_open,second_thirty_high,second_thirty_low,second_thirty_close,second_hour_open,second_hour_high,second_hour_low,second_hour_close,eleven_thirty_to_close_open,eleven_thirty_to_close_high,eleven_thirty_to_close_low,eleven_thirty_to_close_close,third_fifteen_open,third_fifteen_high,third_fifteen_low,third_fifteen_close,third_thirty_open,third_thirty_high,third_thirty_low,third_thirty_close,third_hour_open,third_hour_high,third_hour_low,third_hour_close,twelve_thirty_to_close_open,twelve_thirty_to_close_high,twelve_thirty_to_close_low,twelve_thirty_to_close_close,float,shares,market_cap,pre_high_gte_daily_high,second_fifteen_high10P_gte_first_fifteen_close,second_thirty_high10P_gte_first_thirty,daily_high_gt_pre_high10P,f_0_v_c,f_0_v_t,f_0_fr_c,f_0_fr_t,f_1_v_c,f_1_v_t,f_1_fr_c,f_1_fr_t,f_2_v_c,f_2_v_t,f_2_fr_c,f_2_fr_t,f_3_v_c,f_3_v_t,f_3_fr_c,f_3_fr_t,f_4_v_c,f_4_v_t,f_4_fr_c,f_4_fr_t,f_5_v_c,f_5_v_t,f_5_fr_c,f_5_fr_t,f_6_v_c,f_6_v_t,f_6_fr_c,f_6_fr_t,f_7_v_c,f_7_v_t,f_7_fr_c,f_7_fr_t
3.67,19.75,3.45,14.3,315842280,2021-02-04 06:00:00,AACG,2021-02-04,1.36,169.85294117647055,True,3.54,4.86,3.17,4.66,4.6578,19.75,3.45,14.97,4.6578,5.2,3.45,4.4899,4.6578,5.47,3.45,5.08,4.6578,5.67,3.45,4.3681,4.36,19.75,4.01,14.97,4.4701,5.47,4.4284,5.08,5.06,5.67,4.2,4.3681,4.36,5.07,4.11,4.2492,4.24,19.75,4.01,14.97,5.06,5.67,4.57,4.6801,4.36,5.07,4.2,4.3815,4.24,4.7,4.16,4.32,4.3284,19.75,4.01,14.97,8.74,28.85,39.24,False,True,True,True,8018.0,6433348.0,0.0009173913043478261,0.7360810068649886,47086.0,6480434.0,0.005387414187643021,0.7414684210526316,46840.0,6527274.0,0.0053592677345537755,0.7468276887871853,22303.0,6549577.0,0.0025518306636155607,0.749379519450801,10235.0,6559812.0,0.0011710526315789475,0.7505505720823799,9491.0,6584854.0,0.0010859267734553775,0.7534157894736843,13808.0,6598662.0,0.001579862700228833,0.7549956521739131,1058.0,6599720.0,0.00012105263157894736,0.755116704805492
3.75,15.97,3.6,5.2,111912807,2021-02-05 06:00:00,AAME,2021-02-05,2.39,56.90376569037657,True,4.27,4.32,3.53,4.03,4.03,15.97,3.6,5.13,4.03,5.61,3.6,5.61,4.03,8.65,3.6,7.7116,4.03,14.24,3.6,12.0065,12.06,15.97,4.99,5.13,5.6,8.65,4.06,7.7116,7.7,14.24,6.76,12.0065,12.06,14.23,7.92,11.4,11.4,15.97,4.99,5.13,7.7,11.2,6.76,11.2,12.06,14.23,7.92,9.7,11.4,15.97,9.02,12.8,12.82,15.97,4.99,5.13,4.04,20.41,48.78,False,True,True,True,14649.0,2016482.0,0.003625990099009901,0.4991292079207921,3487.0,2019969.0,0.0008631188118811881,0.49999232673267324,1925.0,2021894.0,0.0004764851485148515,0.5004688118811881,1832.0,2023726.0,0.00045346534653465347,0.5009222772277228,5022.0,2028748.0,0.0012430693069306932,0.5021653465346535,11477.0,2044760.0,0.002840841584158416,0.5061287128712871,2072.0,2046832.0,0.0005128712871287129,0.5066415841584159,2198.0,2049030.0,0.000544059405940594,0.5071856435643565
13.19,14.48,10.38,11.21,166979166,2020-11-09 06:00:00,ACB,2020-11-09,9.79,34.72931562819204,True,12.0,14.48,11.37,12.95,12.93,14.48,10.38,11.44,12.93,14.48,11.8,12.6387,12.93,14.48,11.01,11.14,12.93,14.48,10.85,11.46,11.4416,12.33,10.38,11.44,12.635,12.72,11.01,11.14,11.13,12.17,10.85,11.46,11.4416,12.0,11.09,11.579,11.58,12.33,10.38,11.44,11.13,12.17,11.0,11.04,11.4416,12.0,11.09,11.58,11.58,12.33,11.4,12.12,12.13,12.24,10.38,11.44,196.81,197.98,1938.22,True,True,True,False,84093.0,1053237002.0,0.000427280117880189,5.351542106600275,160129.0,1053397131.0,0.0008136222752908896,5.352355728875565,79528.0,1053476659.0,0.00040408515827447793,5.35275981403384,43344.0,1053520003.0,0.0002202327117524516,5.352980046745592,107565.0,1053627568.0,0.0005465423504903206,5.353526589096083,75573.0,1053798488.0,0.0003839896346730349,5.354395040902393,46741.0,1053845229.0,0.00023749301356638383,5.35463253391596,100198.0,1053945427.0,0.0005091103094354961,5.355141644225395
4.78,4.78,4.05,4.39,2667104,2021-01-25 06:00:00,ACER,2021-01-25,3.67,30.245231607629435,True,4.39,5.44,4.36,4.4348,4.49,4.78,4.05,4.39,4.49,4.78,4.12,4.24,4.49,4.78,4.12,4.26,4.49,4.78,4.12,4.485,4.48,4.65,4.05,4.39,4.2185,4.33,4.12,4.26,4.32,4.5,4.2,4.485,4.48,4.65,4.05,4.18,4.18,4.5499,4.15,4.39,4.32,4.5,4.2,4.5,4.48,4.65,4.25,4.2734,4.18,4.44,4.15,4.39,4.3899,4.5499,4.2,4.39,12.12,14.14,51.89,True,True,True,False,0.0,45170266.0,0.0,3.7269196369636965,0.0,45170266.0,0.0,3.7269196369636965,2260.0,45172526.0,0.00018646864686468648,3.727106105610561,0.0,45172526.0,0.0,3.727106105610561,0.0,45172526.0,0.0,3.727106105610561,0.0,45172526.0,0.0,3.727106105610561,0.0,45172526.0,0.0,3.727106105610561,0.0,45172526.0,0.0,3.727106105610561
5.3,5.39,4.0,4.2,21978102,2021-03-15 05:00:00,ACER,2021-03-15,3.41,55.42521994134896,True,6.1,6.35,5.0,5.2688,5.27,5.39,4.0,4.24,5.27,5.39,4.58,4.62,5.27,5.39,4.42,4.48,5.27,5.39,4.17,4.23,4.23,4.44,4.0,4.24,4.64,4.84,4.42,4.48,4.48,4.59,4.17,4.23,4.23,4.31,4.0,4.0699,4.0572,4.44,4.0,4.24,4.48,4.59,4.35,4.457,4.23,4.31,4.0,4.15,4.0572,4.4,4.0,4.29,4.33,4.44,4.13,4.24,12.12,14.14,48.22,True,True,True,False,74131.0,60825931.0,0.006116419141914191,5.018641171617162,63573.0,60889504.0,0.0052452970297029704,5.0238864686468645,74738.0,60964242.0,0.006166501650165017,5.03005297029703,86850.0,61051092.0,0.007165841584158416,5.037218811881188,50550.0,61101642.0,0.004170792079207921,5.041389603960396,25691.0,61170933.0,0.002119719471947195,5.047106683168317,68445.0,61239378.0,0.005647277227722772,5.052753960396039,54833.0,61294211.0,0.004524174917491749,5.057278135313531
11.62,12.5,7.96,8.43,27713744,2021-02-11 06:00:00,ACIU,2021-02-11,7.31,58.96032831737346,True,16.9,20.55,10.87,11.6836,11.56,12.5,7.96,8.48,11.56,12.5,10.31,10.4428,11.56,12.5,9.55,9.8,11.56,12.5,9.28,9.34,9.345,9.69,7.96,8.48,10.45,10.85,9.55,9.8,9.7912,11.2372,9.28,9.34,9.345,9.69,8.43,8.677,8.7288,9.16,7.96,8.48,9.7912,11.2372,9.55,9.945,9.345,9.69,8.88,8.96,8.7288,9.16,8.08,8.19,8.1941,8.69,7.96,8.48,35.33,72.31,528.59,True,True,True,False,0.0,40120328.0,0.0,1.1355881120860458,0.0,40120328.0,0.0,1.1355881120860458,0.0,40120328.0,0.0,1.1355881120860458,0.0,40120328.0,0.0,1.1355881120860458,0.0,40120328.0,0.0,1.1355881120860458,0.0,40120328.0,0.0,1.1355881120860458,0.0,40120328.0,0.0,1.1355881120860458,0.0,40120328.0,0.0,1.1355881120860458
7.32,9.84,5.55,5.772,18395439,2020-10-20 05:00:00,ACOR,2020-10-20,4.14,76.81159420289858,True,7.26,8.16,6.72,8.1,8.16,9.84,5.55,5.76,8.16,9.84,6.9,7.7286,8.16,9.84,6.42,6.6594,8.16,9.84,6.18,6.7884,6.8202,7.08,5.55,5.76,7.6884,8.16,6.42,6.6594,6.6,6.9,6.18,6.7884,6.8202,7.08,5.55,5.6928,5.6934,6.54,5.58,5.76,6.6,6.9,6.36,6.39,6.8202,7.08,5.727,5.7666,5.6934,6.54,5.58,6.42,6.42,6.54,5.7,5.76,9.31,9.47,39.21,False,True,True,True,4356.0,29543105.0,0.00046788399570354456,3.173265843179377,12121.0,29555226.0,0.0013019334049409238,3.174567776584318,16601.0,29571827.0,0.0017831364124597207,3.1763509129967775,7311.0,29579138.0,0.0007852846401718583,3.1771361976369494,15352.0,29594490.0,0.0016489795918367346,3.1787851772287863,11933.0,29642237.0,0.0012817400644468313,3.183913748657358,27592.0,29669829.0,0.0029636949516648765,3.1868774436090224,15411.0,29685240.0,0.0016553168635875402,3.18853276047261
7.16,7.18,5.5,6.12,36771603,2021-01-13 06:00:00,ACOR,2021-01-13,4.24,68.86792452830188,True,6.4,7.77,6.22,6.72,6.7101,7.18,5.5,6.19,6.7101,7.18,6.23,6.3,6.7101,7.18,6.12,6.1672,6.7101,7.18,5.81,5.986,5.98,6.98,5.5,6.19,6.3,6.77,6.12,6.1672,6.16,6.474,5.81,5.986,5.98,6.29,5.76,5.85,5.85,6.98,5.5,6.19,6.16,6.474,5.94,6.0095,5.98,6.29,5.85,6.1928,5.85,5.94,5.52,5.55,5.53,6.98,5.5,6.19,9.31,9.47,40.15,True,True,True,False,0.0,79090225.0,0.0,8.495190655209452,0.0,79090225.0,0.0,8.495190655209452,0.0,79090225.0,0.0,8.495190655209452,0.0,79090225.0,0.0,8.495190655209452,0.0,79090225.0,0.0,8.495190655209452,0.0,79090225.0,0.0,8.495190655209452,0.0,79090225.0,0.0,8.495190655209452,0.0,79090225.0,0.0,8.495190655209452
14.05,19.95,13.29,18.83,114362153,2021-01-19 06:00:00,ACRS,2021-01-19,5.88,138.94557823129256,True,8.42,15.5,8.2,13.72,13.72,19.95,13.29,17.69,13.72,15.5,13.29,13.61,13.72,16.69,13.29,15.34,13.72,16.9,13.29,16.87,16.86,19.95,14.71,17.69,13.6199,16.69,13.31,15.34,15.3234,16.9,14.67,16.87,16.86,19.8,14.71,19.05,19.06,19.95,15.8599,17.69,15.3234,16.29,14.67,14.74,16.86,19.4461,14.71,19.2426,19.06,19.8,16.69,16.69,16.69,19.95,15.8599,17.69,40.49,50.34,296.0,False,True,True,True,0.0,48247170.0,0.0,1.1915823660163003,0.0,48247170.0,0.0,1.1915823660163003,0.0,48247170.0,0.0,1.1915823660163003,0.0,48247170.0,0.0,1.1915823660163003,0.0,48247170.0,0.0,1.1915823660163003,0.0,48247170.0,0.0,1.1915823660163003,0.0,48247170.0,0.0,1.1915823660163003,0.0,48247170.0,0.0,1.1915823660163003
0.325,0.5652,0.311,0.43,563040360,2020-12-23 06:00:00,ACST,2020-12-23,0.25,30.000000000000004,True,0.2909,0.366,0.2828,0.3173,0.3172,0.5652,0.311,0.4703,0.3172,0.3661,0.311,0.36495,0.3172,0.3895,0.311,0.38,0.3172,0.3895,0.311,0.3609,0.361,0.5652,0.342,0.4703,0.3649,0.3895,0.3401,0.38,0.3798,0.3895,0.342,0.3609,0.361,0.4785,0.342,0.445381,0.4454,0.5652,0.403,0.4703,0.3798,0.3895,0.362,0.376237,0.361,0.412,0.342,0.4,0.4454,0.488,0.403,0.4786,0.478799,0.5652,0.4052,0.4703,179.14,200.12,50.03,False,True,True,True,58068.0,506836965.0,0.0003241487105057497,2.829278580998102,203889.0,507040854.0,0.0011381545160209891,2.830416735514123,102207.0,507143061.0,0.0005705425923858434,2.830987278106509,114342.0,507257403.0,0.0006382829072234007,2.831625561013732,31645.0,507289048.0,0.00017664954783967846,2.831802210561572,86231.0,507413141.0,0.0004813609467455621,2.8324949257563916,6568.0,507419709.0,3.6664061627777154e-05,2.8325315898180192,8289.0,507427998.0,4.6271072903874064e-05,2.832577860890923
0.5669,0.6198,0.4661,0.4718,96519404,2021-05-07 05:00:00,ACST,2021-05-07,0.405,39.97530864197529,True,0.4819,0.6198,0.4579,0.5835,0.5837,0.6198,0.46,0.466,0.5837,0.6198,0.508,0.5173,0.5837,0.6198,0.508,0.5318,0.5837,0.6198,0.487,0.4913,0.49131,0.5185,0.46,0.466,0.519,0.545,0.508,0.5318,0.5319,0.5403,0.487,0.4913,0.49131,0.5134,0.4755,0.4792,0.479301,0.5185,0.46,0.466,0.5319,0.5403,0.5026,0.5196,0.49131,0.5134,0.486,0.502101,0.479301,0.5185,0.4755,0.5174,0.5174,0.5185,0.46,0.466,179.14,200.12,81.05,True,True,True,False,0.0,4078701318.0,0.0,22.768233325890364,0.0,4078701318.0,0.0,22.768233325890364,0.0,4078701318.0,0.0,22.768233325890364,0.0,4078701318.0,0.0,22.768233325890364,1500.0,4078702818.0,8.373339287707937e-06,22.76824169922965,0.0,4078702818.0,0.0,22.76824169922965,0.0,4078702818.0,0.0,22.76824169922965,0.0,4078702818.0,0.0,22.76824169922965
5.69,6.25,4.81,5.03,13596651,2020-10-01 05:00:00,ADES,2020-10-01,4.06,40.14778325123155,True,5.83,6.0,5.37,5.44,5.44,6.25,4.81,4.93,5.44,5.69,5.2801,5.65,5.44,5.95,5.2801,5.93,5.44,6.25,5.2801,5.57,5.57,5.71,4.81,4.93,5.64,5.95,5.2801,5.93,5.92,6.25,5.4667,5.57,5.57,5.71,5.3,5.37,5.36,5.4,4.81,4.93,5.92,6.25,5.4667,5.94,5.57,5.71,5.46,5.6316,5.36,5.4,4.825,5.0999,5.095,5.22,4.81,4.93,13.33,18.17,73.77,False,True,True,False,1000.0,4442686.0,7.501875468867217e-05,0.3332847711927982,1000.0,4443686.0,7.501875468867217e-05,0.3333597899474869,1736.0,4445422.0,0.00013023255813953487,0.3334900225056264,1298.0,4446720.0,9.737434358589648e-05,0.3335873968492123,6479.0,4453199.0,0.000486046511627907,0.3340734433608402,4064.0,4457603.0,0.0003048762190547637,0.3344038259564891,286.0,4457889.0,2.145536384096024e-05,0.33442528132033006,803.0,4458692.0,6.024006001500375e-05,0.3344855213803451
2.33,2.34,1.71,1.79,207315030,2021-01-22 06:00:00,ADMP,2021-01-22,1.27,83.46456692913385,True,2.18,2.47,2.02,2.1152,2.115,2.34,1.71,1.76,2.115,2.34,1.89,1.92,2.115,2.34,1.82,1.849,2.115,2.34,1.81,1.86,1.865,1.94,1.71,1.76,1.925,2.08,1.82,1.849,1.845,2.02,1.81,1.86,1.865,1.94,1.71,1.7298,1.725,1.85,1.71,1.76,1.845,1.94,1.81,1.93,1.865,1.94,1.83,1.8487,1.725,1.85,1.71,1.797,1.7968,1.84,1.72,1.76,147.86,148.89,189.09,True,True,True,False,68258.0,816582512.0,0.0004616393886108481,5.522673556066549,38968.0,816621480.0,0.0002635465981333694,5.522937102664683,133943.0,816755423.0,0.0009058771811172731,5.5238429798458,49612.0,816805035.0,0.0003355336128770459,5.524178513458677,201724.0,817006759.0,0.0013642905451102395,5.525542804003788,49029.0,817186315.0,0.0003315906938996348,5.526757168943595,278176.0,817464491.0,0.0018813472203435683,5.528638516163939,78777.0,817543268.0,0.0005327810090626268,5.529171297173002
16.614,18.87,12.51,12.94,4215092,2021-01-21 06:00:00,ADXN,2021-01-21,10.6251,56.36558714741509,True,17.76,18.87,16.1,17.12,17.1486,18.87,12.51,12.67,17.1486,18.87,13.63,15.11,17.1486,18.87,13.63,15.1,17.1486,18.87,13.63,13.75,13.71,14.7399,12.51,12.67,15.05,15.5599,13.63,15.1,15.17,15.3,13.65,13.75,13.71,14.4399,13.0,14.0,13.96,14.7399,12.51,12.67,15.17,15.3,14.5,15.0727,13.71,14.4399,13.0,13.88,13.96,14.7399,13.5,13.616,13.6,13.8194,12.51,12.67,2.66,7.26,77.14,True,True,True,False,929.0,1360384.0,0.00034924812030075186,0.5114225563909774,2179.0,1362563.0,0.0008191729323308271,0.5122417293233082,1856.0,1364419.0,0.0006977443609022556,0.5129394736842106,0.0,1364419.0,0.0,0.5129394736842106,463.0,1364882.0,0.00017406015037593986,0.5131135338345865,281.0,1366162.0,0.0001056390977443609,0.5135947368421052,100.0,1366262.0,3.759398496240601e-05,0.5136323308270677,720.0,1366982.0,0.0002706766917293233,0.513903007518797
6.26,7.7,4.2,4.55,20263375,2021-06-09 05:00:00,AEHL,2021-06-09,3.99,56.89223057644109,True,5.48,7.47,4.85,7.27,7.2544,7.7,4.2,4.4,7.2544,7.7,5.75,5.9357,7.2544,7.7,5.59,6.07,7.2544,7.7,5.2001,5.4365,5.465,5.78,4.2,4.4,5.98,6.45,5.59,6.07,6.0421,6.28,5.2001,5.4365,5.465,5.78,5.33,5.443,5.49,5.52,4.2,4.4,6.0421,6.28,5.28,5.3033,5.465,5.78,5.38,5.7559,5.49,5.52,4.78,5.12,5.1,5.46,4.2,4.4,2.18,3.15,12.57,False,True,True,False,240.0,19998473.0,0.00011009174311926606,9.173611467889907,400.0,19998873.0,0.0001834862385321101,9.173794954128441,1895.0,20000768.0,0.0008692660550458716,9.174664220183486,2269.0,20003037.0,0.0010408256880733945,9.17570504587156,8935.0,20011972.0,0.004098623853211009,9.179803669724771,494.0,20013407.0,0.00022660550458715597,9.180461926605505,3133.0,20016540.0,0.0014371559633027523,9.181899082568806,0.0,20016540.0,0.0,9.181899082568806
14.75,16.44,10.03,10.26,5676928,2021-03-05 06:00:00,AEI,2021-03-05,10.65,38.49765258215962,True,11.04,22.97,10.17,13.92,13.92,16.44,10.0,10.5,13.92,16.44,13.0,13.4,13.92,16.44,12.5,12.6798,13.92,16.44,10.6901,10.89,10.85,13.4019,10.0,10.5,13.44,14.3,12.5,12.6798,12.66,13.51,10.6901,10.89,10.85,11.325,10.16,10.78,10.7,13.4019,10.0,10.5,12.66,13.51,12.2001,12.4201,10.85,11.325,10.16,10.91,10.7,11.7,10.52,11.32,11.4,13.4019,10.0,10.5,0.77,8.57,91.27,True,True,True,False,0.0,9906646.0,0.0,12.865774025974027,0.0,9906646.0,0.0,12.865774025974027,0.0,9906646.0,0.0,12.865774025974027,0.0,9906646.0,0.0,12.865774025974027,0.0,9906646.0,0.0,12.865774025974027,0.0,9906646.0,0.0,12.865774025974027,0.0,9906646.0,0.0,12.865774025974027,0.0,9906646.0,0.0,12.865774025974027
