open,high,low,close,volume,datetime,symbol,date_only,close_yesterday,diff_percent,gap_up
2.9,3.85,2.38,2.6,37765078,2021-01-04 06:00:00,ANTE,2021-01-04,2.19,32.42009132420091,True
7.43,8.0,5.54,7.08,2833688,2021-01-28 06:00:00,RHE,2021-01-28,5.3,40.18867924528302,True
16.56,17.4,8.53,8.66,124731889,2020-07-30 05:00:00,KNDI,2020-07-30,9.32,77.68240343347638,True
65.83,67.0,47.0,63.91,199442400,2021-02-10 06:00:00,TLRY,2021-02-10,42.35,55.4427390791027,True
59.21,63.78,33.68,39.01,8863807,2021-02-18 06:00:00,IMNM,2021-02-18,22.22,166.47164716471647,True
0.8064,0.94,0.435,0.505,1614646,2021-02-08 06:00:00,VTAQR,2021-02-08,0.33,144.36363636363635,True
19.26,24.3,16.2054,19.98,10177356,2020-09-15 05:00:00,ELDN,2020-09-15,6.822,182.32189973614777,True
67.69,68.2,55.0,61.83,9393157,2021-03-11 06:00:00,VIR,2021-03-11,46.82,44.57496796240922,True
9.9,10.75,8.25,8.78,31919393,2020-09-11 05:00:00,BFRA,2020-09-11,7.38,34.14634146341464,True
7.65,8.58,6.67,7.53,43166477,2020-09-01 05:00:00,JNCE,2020-09-01,4.84,58.05785123966943,True
2.74,2.85,2.415,2.48,10775342,2021-02-02 06:00:00,DRRX,2021-02-02,2.1,30.47619047619048,True
4.88,6.14,2.13,2.68,126368141,2020-10-21 05:00:00,ASTC,2020-10-21,1.69,188.75739644970415,True
2.85,2.98,2.1,2.21,60511851,2021-04-07 05:00:00,ASTC,2021-04-07,2.18,30.73394495412844,True
14.05,15.6,13.25,14.4,30711486,2020-12-10 06:00:00,SSPK,2020-12-10,10.49,33.93708293612965,True
1.91,2.15,1.66,1.93,31277820,2021-05-24 05:00:00,CREX,2021-05-24,1.31,45.80152671755724,True
10.82,13.0,8.22,8.55,44862007,2020-07-16 05:00:00,ACIU,2020-07-16,7.19,50.48678720445062,True
11.62,12.5,7.96,8.43,27713744,2021-02-11 06:00:00,ACIU,2021-02-11,7.31,58.96032831737346,True
1.6218,1.9353,1.32,1.3728,35451331,2020-12-18 06:00:00,XELA,2020-12-18,1.0887,48.96665748139982,True
2.47,5.5,2.33,4.61,474952400,2021-03-09 06:00:00,XELA,2021-03-09,1.65,49.69696969696972,True
6.08,7.82,4.0,4.17,124429210,2021-03-10 06:00:00,XELA,2021-03-10,4.61,31.88720173535791,True
7.25,7.41,5.0,5.82,15883572,2020-09-25 05:00:00,TATT,2020-09-25,4.02,80.34825870646769,True
7.62,8.34,6.25,6.59,29358738,2021-01-06 06:00:00,TATT,2021-01-06,5.1,49.41176470588237,True
9.63,15.71,8.0,10.2,95930084,2020-07-17 05:00:00,VRNA,2020-07-17,4.73,103.5940803382664,True
9.84,12.49,7.58,7.92,12364223,2021-02-18 06:00:00,QUIK,2021-02-18,7.17,37.23849372384937,True
13.41,13.64,11.03,11.08,1541496,2021-02-24 06:00:00,PSTX,2021-02-24,10.15,32.11822660098522,True
18.88,19.6998,14.23,15.0,17004580,2021-01-25 06:00:00,TSIA,2021-01-25,10.36,82.23938223938224,True
11.74,12.2,9.5,10.27,27178020,2020-08-17 05:00:00,MBOT,2020-08-17,8.16,43.872549019607845,True
6.02,6.05,4.11,4.93,54109987,2020-11-25 06:00:00,YJ,2020-11-25,4.29,40.326340326340315,True
4.63,6.75,4.04,6.75,25937927,2020-06-25 05:00:00,PHCF,2020-06-25,3.28,41.15853658536586,True
6.431,9.58,5.71,7.6,87188713,2020-08-06 05:00:00,ADTX,2020-08-06,3.93,63.63867684478371,True
2.54,2.62,1.41,1.49,5883825,2020-06-17 05:00:00,SALM,2020-06-17,1.58,60.75949367088607,True
2.34,2.6,2.22,2.51,4544902,2020-08-07 05:00:00,HBP,2020-08-07,1.65,41.81818181818182,True
