open,high,low,close,volume,datetime,symbol,date_only,close_yesterday,diff_percent,gap_up,pre_high,pre_low,pre_close,pre_high_time,pre_low_time,pre_close_time,morning_high,morning_low,morning_close,morning_high_time,morning_low_time,morning_close_time,1030_close_high,1030_close_low,1030_close_close,1030_close_high_time,1030_close_low_time,1030_close_time,market_high,market_low,market_close,market_high_time,market_low_time,market_close_time
3.67,19.75,3.45,14.3,315842280,2021-02-04 06:00:00,AACG,2021-02-04,1.36,169.85294117647055,True,4.86,2.49,4.66,09:30:00,06:35:00,09:30:00,5.67,3.45,4.3681,10:05:00,09:30:00,10:30:00,19.75,4.01,14.97,15:30:00,12:40:00,16:00:00,19.75,3.45,14.97,15:30:00,09:30:00,16:00:00
3.75,15.97,3.6,5.2,111912807,2021-02-05 06:00:00,AAME,2021-02-05,2.39,56.90376569037657,True,5.0,3.53,4.03,06:30:00,08:15:00,09:30:00,14.24,3.6,12.0065,10:25:00,09:30:00,10:30:00,15.97,4.99,5.13,12:30:00,15:55:00,16:00:00,15.97,3.6,5.13,12:30:00,09:30:00,16:00:00
13.19,14.48,10.38,11.21,166979166,2020-11-09 06:00:00,ACB,2020-11-09,9.79,34.72931562819204,True,14.48,11.03,12.95,09:30:00,07:00:00,09:30:00,14.48,10.85,11.46,09:30:00,10:25:00,10:30:00,12.33,10.38,11.44,12:25:00,15:20:00,16:00:00,14.48,10.38,11.44,09:30:00,15:20:00,16:00:00
4.78,4.78,4.05,4.39,2667104,2021-01-25 06:00:00,ACER,2021-01-25,3.67,30.245231607629435,True,5.45,4.35,4.4348,06:30:00,07:10:00,09:30:00,4.78,4.12,4.485,09:30:00,09:45:00,10:30:00,4.65,4.05,4.39,10:40:00,11:10:00,16:00:00,4.78,4.05,4.39,09:30:00,11:10:00,16:00:00
5.3,5.39,4.0,4.2,21978102,2021-03-15 05:00:00,ACER,2021-03-15,3.41,55.42521994134896,True,7.1,5.0,5.2688,07:00:00,09:30:00,09:30:00,5.39,4.17,4.23,09:30:00,10:30:00,10:30:00,4.44,4.0,4.24,12:55:00,10:50:00,16:00:00,5.39,4.0,4.24,09:30:00,10:50:00,16:00:00
11.62,12.5,7.96,8.43,27713744,2021-02-11 06:00:00,ACIU,2021-02-11,7.31,58.96032831737346,True,25.0,8.09,11.6836,07:10:00,07:00:00,09:30:00,12.5,9.28,9.34,09:30:00,10:25:00,10:30:00,9.69,7.96,8.48,10:35:00,13:15:00,16:00:00,12.5,7.96,8.48,09:30:00,13:15:00,16:00:00
7.32,9.84,5.55,5.772,18395439,2020-10-20 05:00:00,ACOR,2020-10-20,4.14,76.81159420289858,True,9.0,6.72,8.1,06:30:00,08:40:00,09:30:00,9.84,6.18,6.7884,09:40:00,10:20:00,10:30:00,7.08,5.55,5.76,10:35:00,11:20:00,16:00:00,9.84,5.55,5.76,09:40:00,11:20:00,16:00:00
7.16,7.18,5.5,6.12,36771603,2021-01-13 06:00:00,ACOR,2021-01-13,4.24,68.86792452830188,True,7.77,4.2,6.72,08:50:00,07:00:00,09:30:00,7.18,5.81,5.986,09:30:00,10:20:00,10:30:00,6.98,5.5,6.19,13:55:00,12:35:00,16:00:00,7.18,5.5,6.19,09:30:00,12:35:00,16:00:00
14.05,19.95,13.29,18.83,114362153,2021-01-19 06:00:00,ACRS,2021-01-19,5.88,138.94557823129256,True,15.5,5.72,13.72,09:30:00,07:00:00,09:30:00,16.9,13.29,16.87,10:30:00,09:40:00,10:30:00,19.95,14.71,17.69,15:15:00,10:30:00,16:00:00,19.95,13.29,17.69,15:15:00,09:40:00,16:00:00
0.325,0.5652,0.311,0.43,563040360,2020-12-23 06:00:00,ACST,2020-12-23,0.25,30.000000000000004,True,0.366,0.2828,0.3173,08:10:00,07:25:00,09:30:00,0.3895,0.311,0.3609,10:00:00,09:30:00,10:30:00,0.5652,0.342,0.4703,12:40:00,10:30:00,16:00:00,0.5652,0.311,0.4703,12:40:00,09:30:00,16:00:00
0.5669,0.6198,0.4661,0.4718,96519404,2021-05-07 05:00:00,ACST,2021-05-07,0.405,39.97530864197529,True,0.6198,0.4101,0.5835,09:30:00,06:50:00,09:30:00,0.6198,0.487,0.4913,09:30:00,10:30:00,10:30:00,0.5185,0.46,0.466,12:30:00,16:00:00,16:00:00,0.6198,0.46,0.466,09:30:00,16:00:00,16:00:00
5.69,6.25,4.81,5.03,13596651,2020-10-01 05:00:00,ADES,2020-10-01,4.06,40.14778325123155,True,6.13,5.37,5.44,06:40:00,09:30:00,09:30:00,6.25,5.2801,5.57,10:10:00,09:45:00,10:30:00,5.71,4.81,4.93,10:35:00,14:15:00,16:00:00,6.25,4.81,4.93,10:10:00,14:15:00,16:00:00
2.33,2.34,1.71,1.79,207315030,2021-01-22 06:00:00,ADMP,2021-01-22,1.27,83.46456692913385,True,2.47,2.02,2.1152,09:15:00,07:45:00,09:30:00,2.34,1.81,1.86,09:30:00,10:05:00,10:30:00,1.94,1.71,1.76,10:30:00,11:30:00,16:00:00,2.34,1.71,1.76,09:30:00,11:30:00,16:00:00
16.614,18.87,12.51,12.94,4215092,2021-01-21 06:00:00,ADXN,2021-01-21,10.6251,56.36558714741509,True,18.87,15.15,17.12,09:30:00,06:35:00,09:30:00,18.87,13.63,13.75,09:30:00,09:45:00,10:30:00,14.7399,12.51,12.67,12:00:00,15:55:00,16:00:00,18.87,12.51,12.67,09:30:00,15:55:00,16:00:00
6.26,7.7,4.2,4.55,20263375,2021-06-09 05:00:00,AEHL,2021-06-09,3.99,56.89223057644109,True,7.47,4.57,7.27,09:30:00,06:40:00,09:30:00,7.7,5.2001,5.4365,09:35:00,10:20:00,10:30:00,5.78,4.2,4.4,10:55:00,15:25:00,16:00:00,7.7,4.2,4.4,09:35:00,15:25:00,16:00:00
14.75,16.44,10.03,10.26,5676928,2021-03-05 06:00:00,AEI,2021-03-05,10.65,38.49765258215962,True,22.97,10.17,13.92,09:00:00,08:30:00,09:30:00,16.44,10.6901,10.89,09:30:00,10:20:00,10:30:00,13.4019,10.0,10.5,13:30:00,16:00:00,16:00:00,16.44,10.0,10.5,09:30:00,16:00:00,16:00:00
2.91,3.07,2.14,2.26,92877327,2020-12-16 06:00:00,AEMD,2020-12-16,1.62,79.62962962962962,True,3.4,1.69,2.96,09:25:00,08:00:00,09:30:00,3.07,2.33,2.3582,09:30:00,10:20:00,10:30:00,2.6,2.14,2.25,10:45:00,14:35:00,16:00:00,3.07,2.14,2.25,09:30:00,14:35:00,16:00:00
10.6,12.49,8.71,10.79,253587270,2021-06-09 05:00:00,AEMD,2021-06-09,2.21,379.63800904977376,True,11.6,7.0,10.96,09:30:00,07:25:00,09:30:00,12.49,8.71,10.81,10:00:00,09:40:00,10:30:00,12.2,8.91,11.08,10:40:00,11:55:00,16:00:00,12.49,8.71,11.08,10:00:00,09:40:00,16:00:00
0.9904,1.19,0.886,1.0,150217480,2021-02-02 06:00:00,AEZS,2021-02-02,0.7,41.48571428571429,True,1.18,0.7101,0.97,07:50:00,06:40:00,09:30:00,1.19,0.9323,1.09,09:40:00,09:30:00,10:30:00,1.13,0.886,0.9849,10:30:00,11:15:00,16:00:00,1.19,0.886,0.9849,09:40:00,11:15:00,16:00:00
10.27,10.7,9.23,9.74,79786681,2021-04-09 05:00:00,AFMD,2021-04-09,7.89,30.164765525982258,True,11.29,9.07,9.99,06:50:00,06:30:00,09:30:00,10.7,9.4,9.839,09:35:00,10:10:00,10:30:00,10.25,9.23,9.75,12:00:00,14:00:00,16:00:00,10.7,9.23,9.75,09:35:00,14:00:00,16:00:00
0.73955,0.81,0.4,0.55,9139929,2021-03-30 05:00:00,AGBAR,2021-03-30,0.31,138.56451612903228,True,2.42,0.65,0.72,06:30:00,08:50:00,09:30:00,0.81,0.434001,0.55,09:30:00,10:20:00,10:30:00,0.5784,0.4,0.51,10:30:00,12:50:00,16:00:00,0.81,0.4,0.51,09:30:00,12:50:00,16:00:00
0.55,0.55,0.381,0.5,2161210,2021-04-08 05:00:00,AGBAR,2021-04-08,0.37,48.64864864864866,True,0.59,0.4944,0.51,08:05:00,06:35:00,09:30:00,0.55,0.381,0.419199,09:30:00,10:30:00,10:30:00,0.5,0.381,0.5,16:00:00,10:30:00,16:00:00,0.55,0.381,0.5,09:30:00,10:30:00,16:00:00
44.1127,45.91,40.01,42.62,5803298,2020-12-21 06:00:00,AGIO,2020-12-21,33.21,32.82956940680516,True,48.73,34.99,44.9225,08:30:00,07:00:00,09:30:00,45.91,41.09,41.15,09:30:00,10:25:00,10:30:00,43.7,40.01,42.62,14:35:00,11:25:00,16:00:00,45.91,40.01,42.62,09:30:00,11:25:00,16:00:00
1.87,1.98,1.03,1.13,56144103,2020-10-20 05:00:00,AIHS,2020-10-20,1.41,32.624113475177325,True,2.04,1.04,1.62,09:10:00,08:20:00,09:30:00,1.98,1.24,1.255,09:30:00,10:30:00,10:30:00,1.34,1.03,1.11,10:30:00,13:55:00,16:00:00,1.98,1.03,1.11,09:30:00,13:55:00,16:00:00
1.45,1.75,1.0,1.04,188532910,2021-01-06 06:00:00,AIKI,2021-01-06,0.8525,70.08797653958943,True,1.6,0.84,1.5,08:20:00,06:30:00,09:30:00,1.75,1.22,1.3,09:40:00,10:25:00,10:30:00,1.35,1.0,1.04,10:55:00,14:45:00,16:00:00,1.75,1.0,1.04,09:40:00,14:45:00,16:00:00
5.22,5.6,3.4,3.61,41259232,2021-05-06 05:00:00,ALF,2021-05-06,3.58,45.810055865921775,True,5.99,3.55,4.8399,08:30:00,07:20:00,09:30:00,5.6,3.65,3.94,09:30:00,10:20:00,10:30:00,4.26,3.4,3.62,12:35:00,15:30:00,16:00:00,5.6,3.4,3.62,09:30:00,15:30:00,16:00:00
4.88,4.91,3.86,4.57,23111316,2021-05-10 05:00:00,ALF,2021-05-10,3.7,31.891891891891884,True,5.25,4.33,4.3609,07:05:00,09:30:00,09:30:00,4.91,3.86,4.0375,09:30:00,10:00:00,10:30:00,4.88,3.92,4.51,15:40:00,11:45:00,16:00:00,4.91,3.86,4.51,09:30:00,10:00:00,16:00:00
5.14,7.0,4.66,6.97,198807110,2021-06-15 05:00:00,ALF,2021-06-15,3.41,50.733137829912,True,5.47,3.43,4.93,09:30:00,08:00:00,09:30:00,6.8,4.66,6.05,10:15:00,09:35:00,10:30:00,7.35,5.04,6.75,16:00:00,14:05:00,16:00:00,7.35,4.66,6.75,16:00:00,09:35:00,16:00:00
2.07,2.78,1.83,2.03,71305536,2021-02-16 06:00:00,ALJJ,2021-02-16,1.33,55.639097744360875,True,3.6,2.03,2.432,06:30:00,09:30:00,09:30:00,2.78,2.03,2.21,09:40:00,09:30:00,10:30:00,2.34,1.83,1.93,10:35:00,14:30:00,16:00:00,2.78,1.83,1.93,09:40:00,14:30:00,16:00:00
1.41,1.45,1.22,1.3,39012908,2021-01-05 06:00:00,ALRN,2021-01-05,1.05,34.28571428571427,True,2.27,1.35,1.3899,06:45:00,09:30:00,09:30:00,1.45,1.22,1.318,09:30:00,09:55:00,10:30:00,1.33,1.23,1.3,10:30:00,12:45:00,16:00:00,1.45,1.22,1.3,09:30:00,09:55:00,16:00:00
3.0396,3.07,2.98,3.04,11383097,2020-11-03 06:00:00,ALSK,2020-11-03,1.91,59.14136125654451,True,3.2,2.96,3.0,07:00:00,06:40:00,09:30:00,3.04,2.98,3.005,09:35:00,09:55:00,10:30:00,3.07,3.0,3.04,15:30:00,10:30:00,16:00:00,3.07,2.98,3.04,15:30:00,09:55:00,16:00:00
18.27,31.9,16.72,30.54,12016415,2020-11-05 06:00:00,ALTM,2020-11-05,10.03,82.15353938185444,True,20.25,12.88,18.0,09:25:00,07:05:00,09:30:00,23.33,16.72,22.88,10:30:00,09:40:00,10:30:00,31.9,20.68,30.25,13:25:00,11:10:00,16:00:00,31.9,16.72,30.25,13:25:00,09:40:00,16:00:00
157.35,160.03,155.98,156.31,22390519,2020-12-14 06:00:00,ALXN,2020-12-14,120.98,30.06282030087617,True,160.66,156.16,157.0,06:55:00,09:30:00,09:30:00,159.6,156.16,157.88,09:35:00,09:30:00,10:30:00,160.03,155.98,156.7,11:10:00,15:50:00,16:00:00,160.03,155.98,156.7,11:10:00,15:50:00,16:00:00
4.77,5.47,3.15,3.21,14977579,2021-02-01 06:00:00,ALYA,2021-02-01,2.51,90.0398406374502,True,9.5,4.5,4.5264,07:00:00,09:30:00,09:30:00,5.47,3.45,3.6,09:40:00,10:20:00,10:30:00,3.74,3.15,3.15,10:30:00,13:25:00,16:00:00,5.47,3.15,3.15,09:40:00,13:25:00,16:00:00
3.19,3.4,2.38,2.53,47970876,2021-03-24 05:00:00,ALYA,2021-03-24,2.36,35.16949152542373,True,4.62,2.45,3.2295,07:10:00,07:00:00,09:30:00,3.4,2.61,2.68,09:35:00,10:20:00,10:30:00,2.89,2.38,2.53,11:35:00,12:40:00,16:00:00,3.4,2.38,2.53,09:35:00,12:40:00,16:00:00
4.27,4.39,3.23,3.77,132510953,2020-11-09 06:00:00,AMC,2020-11-09,2.49,71.48594377510037,True,4.75,2.62,3.65,08:20:00,06:30:00,09:30:00,4.39,3.23,3.58,09:30:00,10:05:00,10:30:00,4.2,3.46,3.76,11:40:00,10:35:00,16:00:00,4.39,3.23,3.76,09:30:00,10:05:00,16:00:00
4.71,4.88,3.85,4.42,443238115,2021-01-25 06:00:00,AMC,2021-01-25,3.51,34.188034188034194,True,5.27,4.0,4.3812,06:45:00,06:35:00,09:30:00,4.81,4.08,4.758,09:35:00,09:50:00,10:30:00,4.88,3.85,4.42,10:35:00,11:05:00,16:00:00,4.88,3.85,4.42,10:35:00,11:05:00,16:00:00
20.34,20.36,11.01,19.9,1253253552,2021-01-27 06:00:00,AMC,2021-01-27,4.96,310.0806451612903,True,25.8,7.88,16.11,09:10:00,06:55:00,09:30:00,20.36,11.01,16.9355,09:30:00,10:00:00,10:30:00,19.94,12.5,19.17,16:00:00,12:25:00,16:00:00,20.36,11.01,19.17,09:30:00,10:00:00,16:00:00
14.31,16.0,11.6,13.26,602193320,2021-01-29 06:00:00,AMC,2021-01-29,8.63,65.81691772885283,True,16.0,11.75,13.46,09:30:00,07:35:00,09:30:00,16.0,11.85,12.783,09:30:00,10:00:00,10:30:00,15.98,11.6,12.96,12:05:00,14:20:00,16:00:00,16.0,11.6,12.96,09:30:00,14:20:00,16:00:00
4.18,4.5,2.96,3.2,42708238,2021-06-11 05:00:00,AMST,2021-06-11,2.77,50.902527075812266,True,5.32,4.01,4.172,06:30:00,08:50:00,09:30:00,4.5,3.29,3.41,09:30:00,10:25:00,10:30:00,3.72,2.96,3.17,11:10:00,14:45:00,16:00:00,4.5,2.96,3.17,09:30:00,14:45:00,16:00:00
3.88,3.89,2.95,3.19,48071031,2020-12-22 06:00:00,AMTX,2020-12-22,2.36,64.40677966101696,True,4.55,2.4,3.68,08:35:00,08:00:00,09:30:00,3.89,3.18,3.5753,09:30:00,10:00:00,10:30:00,3.8,2.95,3.2,10:30:00,12:50:00,16:00:00,3.89,2.95,3.2,09:30:00,12:50:00,16:00:00
7.12,11.0,6.86,8.8,63632957,2021-01-25 06:00:00,AMTX,2021-01-25,4.4,61.81818181818181,True,7.7,6.05,7.4492,09:30:00,07:00:00,09:30:00,7.76,6.86,7.29,09:35:00,10:05:00,10:30:00,11.0,7.0,8.53,13:30:00,11:05:00,16:00:00,11.0,6.86,8.53,13:30:00,10:05:00,16:00:00
6.7079,6.85,5.42,5.84,8255454,2021-03-12 06:00:00,ANIX,2021-03-12,5.14,30.503891050583675,True,7.99,5.1399,6.26,08:30:00,08:30:00,09:30:00,6.85,5.59,5.6437,09:30:00,10:30:00,10:30:00,6.18,5.42,5.75,12:05:00,14:45:00,16:00:00,6.85,5.42,5.75,09:30:00,14:45:00,16:00:00
8.09,8.48,6.35,7.14,40852059,2020-11-25 06:00:00,ANPC,2020-11-25,3.5,131.14285714285714,True,9.2,3.83,7.91,08:40:00,07:30:00,09:30:00,8.48,6.35,7.36,09:30:00,10:05:00,10:30:00,8.1,6.46,7.03,10:30:00,13:25:00,16:00:00,8.48,6.35,7.03,09:30:00,10:05:00,16:00:00
8.45,8.65,5.62,5.7,30961420,2020-12-14 06:00:00,ANPC,2020-12-14,4.22,100.23696682464454,True,10.1,4.7,8.2152,08:25:00,07:15:00,09:30:00,8.65,6.79,7.01,09:30:00,10:25:00,10:30:00,7.36,5.62,5.63,10:50:00,13:45:00,16:00:00,8.65,5.62,5.63,09:30:00,13:45:00,16:00:00
9.98,12.09,7.52,8.61,43150567,2021-03-09 06:00:00,ANPC,2021-03-09,5.8,72.0689655172414,True,12.6,6.49,10.62,07:40:00,07:30:00,09:30:00,12.09,8.57,8.57,09:45:00,10:30:00,10:30:00,9.45,7.52,8.45,11:10:00,13:55:00,16:00:00,12.09,7.52,8.45,09:45:00,13:55:00,16:00:00
2.9,3.85,2.38,2.6,37765078,2021-01-04 06:00:00,ANTE,2021-01-04,2.19,32.42009132420091,True,3.88,2.12,3.08,07:25:00,06:50:00,09:30:00,3.75,2.88,3.32,09:40:00,09:30:00,10:30:00,3.85,2.38,2.5019,11:05:00,13:25:00,16:00:00,3.85,2.38,2.5019,11:05:00,13:25:00,16:00:00
8.22,14.23,4.68,4.76,62262852,2020-09-29 05:00:00,APM,2020-09-29,1.22,573.7704918032788,True,21.01,6.8,10.9,06:30:00,09:10:00,09:30:00,14.23,7.66,8.8079,09:35:00,10:05:00,10:30:00,11.7,4.68,4.91,10:35:00,15:40:00,16:00:00,14.23,4.68,4.91,09:35:00,15:40:00,16:00:00
4.59,4.94,3.5,4.02,19384181,2021-01-20 06:00:00,APM,2021-01-20,3.18,44.33962264150942,True,5.66,3.5,4.33,07:35:00,06:45:00,09:30:00,4.94,3.94,3.9869,09:50:00,10:15:00,10:30:00,4.2,3.5,4.08,15:45:00,13:40:00,16:00:00,4.94,3.5,4.08,09:50:00,13:40:00,16:00:00
