open,high,low,close,volume,datetime,symbol,date_only,close_yesterday,closed_up,gap_percent,max_up_percent,max_down_percent,max_up_percent_30,max_down_percent_30,max_up_percent_50,max_down_percent_50,max_up_percent_100
3.4574,4.8,3.2,3.99,19176902,2021-06-08 05:00:00,AEHL,2021-06-08,2.88,True,20.04861111111111,38.83264881124544,7.444900792503026,True,False,False,False,False
6.26,7.7,4.2,4.55,20263375,2021-06-09 05:00:00,AEHL,2021-06-09,3.99,False,56.89223057644109,23.003194888178918,32.9073482428115,False,True,False,False,False
4.21,4.95,3.68,4.08,40552609,2021-07-12 05:00:00,AEHL,2021-07-12,3.33,False,26.42642642642642,17.577197149643712,12.58907363420427,False,False,False,False,False
15.87,24.34,11.29,11.77,95482784,2021-02-10 06:00:00,BPTH,2021-02-10,5.2,False,205.19230769230765,53.37114051669818,28.85948330182735,True,False,True,False,False
9.73,10.17,7.26,7.63,21683813,2021-04-05 05:00:00,BPTH,2021-04-05,7.15,False,36.08391608391608,4.522096608427538,25.385405960945533,False,False,False,False,False
8.09,8.6199,6.2901,6.54,66273794,2021-08-24 05:00:00,BPTH,2021-08-24,5.69,False,42.179261862917386,6.550061804697152,22.248454882571078,False,False,False,False,False
8.77,8.8,7.31,7.72,39277187,2021-01-07 06:00:00,CBAT,2021-01-07,6.4,False,37.031249999999986,0.3420752565564554,16.647662485746864,False,False,False,False,False
30.07,33.99,20.94,23.9,4693825,2021-01-13 06:00:00,LIVE,2021-01-13,12.5001,False,140.55807553539572,13.036248752909882,30.362487529098765,False,True,False,False,False
30.95,31.64,26.42,29.04,1349946,2021-04-22 05:00:00,RNLX,2021-04-22,25.22,False,22.720063441712927,2.2294022617124436,14.636510500807747,False,False,False,False,False
6.88,7.89,4.72,5.06,193632230,2021-02-24 06:00:00,SYPR,2021-02-24,2.66,False,158.64661654135338,14.680232558139531,31.3953488372093,False,True,False,False,False
4.6,5.04,4.11,4.26,4876669,2021-03-16 05:00:00,SYPR,2021-03-16,3.75,False,22.66666666666666,9.565217391304358,10.652173913043464,False,False,False,False,False
3.62,5.82,3.41,4.47,130343657,2021-04-23 05:00:00,SYPR,2021-04-23,2.81,True,28.82562277580071,60.77348066298343,5.80110497237569,True,False,True,False,False
3.17,3.17,2.63,2.7,12878619,2021-02-04 06:00:00,THTX,2021-02-04,2.34,False,35.47008547008547,0.0,17.034700315457414,False,False,False,False,False
20.57,21.34,17.05,17.82,31029130,2021-08-16 05:00:00,TVTX,2021-08-16,15.45,False,33.13915857605179,3.7433155080213885,17.11229946524064,False,False,False,False,False
3.03,4.99,2.8,3.53,276469850,2021-02-03 06:00:00,TYME,2021-02-03,1.82,True,66.48351648351647,64.6864686468647,7.590759075907592,True,False,True,False,False
3.239,3.48,2.92,3.26,50526746,2021-02-09 06:00:00,TYME,2021-02-09,2.63,True,23.155893536121674,7.440568076566844,9.84871874035196,False,False,False,False,False
1.68,2.02,1.38,1.38,302846280,2021-07-26 05:00:00,TYME,2021-07-26,1.08,False,55.555555555555536,20.238095238095244,17.85714285714286,False,False,False,False,False
3.95,5.0,3.69,4.49,6725508,2021-06-15 05:00:00,UFAB,2021-06-15,3.27,True,20.795107033639148,26.582278481012654,6.582278481012663,False,False,False,False,False
3.52,4.09,3.13,3.45,56728819,2021-09-24 05:00:00,UFAB,2021-09-24,2.52,False,39.682539682539684,16.193181818181813,11.079545454545459,False,False,False,False,False
11.39,11.78,10.05,10.5,30982579,2021-05-18 05:00:00,ULBI,2021-05-18,8.51,False,33.84253819036429,3.4240561896400243,11.76470588235294,False,False,False,False,False
7.33,8.53,6.75,6.96,8777428,2021-01-27 06:00:00,UONE,2021-01-27,5.83,False,25.728987993138936,16.37107776261936,7.912687585266031,False,False,False,False,False
10.5,11.99,5.16,5.61,49054357,2021-03-29 05:00:00,UPC,2021-03-29,4.06,False,158.62068965517244,14.190476190476193,50.857142857142854,False,True,False,True,False
5.34,7.22,5.07,5.25,75952704,2021-04-01 05:00:00,UPC,2021-04-01,4.01,False,33.16708229426434,35.2059925093633,5.056179775280891,True,False,False,False,False
83.54,124.75,81.96,115.09,21520788,2021-03-18 05:00:00,UPST,2021-03-18,60.79,True,37.42391840763285,49.32966243715584,1.8913095523102854,True,False,False,False,False
115.28,115.4765,88.88,91.82,12764673,2021-05-12 05:00:00,UPST,2021-05-12,89.44,False,28.890876565295176,0.17045454545454575,22.90076335877863,False,False,False,False,False
166.82,172.0,156.77,171.2,17993626,2021-08-11 05:00:00,UPST,2021-08-11,135.68,True,22.951061320754707,3.1051432681932662,6.0244574991008175,False,False,False,False,False
2.065,2.1,1.785,1.82,12555257,2021-01-11 06:00:00,USWS,2021-01-11,1.71465,False,20.432741375790975,1.6949152542372952,13.559322033898308,False,False,False,False,False
3.325,3.57,2.422,2.70585,25935200,2021-01-12 06:00:00,USWS,2021-01-12,1.82,False,82.6923076923077,7.368421052631568,27.157894736842103,False,False,False,False,False
10.605,11.795,8.61,9.45,13266128,2021-02-18 06:00:00,USWS,2021-02-18,8.295,False,27.84810126582279,11.221122112211216,18.81188118811882,False,False,False,False,False
4.2,4.2,3.71,3.85,4892728,2021-05-25 05:00:00,USWS,2021-05-25,3.35195,False,25.300198391980793,0.0,11.666666666666671,False,False,False,False,False
54.0,107.3299,53.6554,82.17,7063231,2021-04-07 05:00:00,UTME,2021-04-07,39.0,True,38.46153846153846,98.75907407407406,0.6381481481481478,True,False,True,False,False
37.51,40.8541,36.32,39.21,1225470,2021-10-18 05:00:00,VALN,2021-10-18,28.05,True,33.725490196078425,8.915222607304731,3.172487336710205,False,False,False,False,False
2.73,3.17,1.92,2.06,27173098,2021-02-23 06:00:00,VBLT,2021-02-23,2.23,False,22.42152466367713,16.117216117216113,29.67032967032967,False,False,False,False,False
5.95,9.56,4.7,4.88,278622040,2021-02-19 06:00:00,VCNX,2021-02-19,2.87,False,107.3170731707317,60.67226890756303,21.008403361344538,True,False,True,False,False
0.399,1.0,0.34901,0.52,20586226,2021-04-15 05:00:00,VENAR,2021-04-15,0.220001,True,81.36281198721825,150.62656641604008,12.528822055137852,True,False,True,False,True
