open,high,low,close,volume,datetime,symbol,date_only,close_yesterday,closed_up,gap_percent,max_up_percent,max_down_percent,max_up_percent_30,max_down_percent_30,max_up_percent_50,max_down_percent_50,max_up_percent_100
0.0025,0.0025,0.0025,0.0025,54857,2021-02-12 06:00:00,AADI,2021-02-12,0.005,False,-50.0,0.0,0.0,False,False,False,False,False
0.0021,0.0048,0.0021,0.0048,18500,2021-03-10 06:00:00,AADI,2021-03-10,0.0048,True,-56.25,128.57142857142856,0.0,True,False,True,False,True
0.003,0.003,0.003,0.003,400,2021-05-24 05:00:00,AADI,2021-05-24,0.006,False,-50.0,0.0,0.0,False,False,False,False,False
0.001,0.001,0.001,0.001,10000,2021-07-06 05:00:00,AADI,2021-07-06,0.002,False,-50.0,0.0,0.0,False,False,False,False,False
0.0006,0.0006,0.0002,0.0002,50000,2021-07-12 05:00:00,AADI,2021-07-12,0.0045,False,-86.66666666666666,0.0,66.66666666666666,False,True,False,True,False
4.34,4.46,3.78,3.83,39390945,2021-04-29 05:00:00,ADVM,2021-04-29,10.16,False,-57.28346456692913,2.7649769585253483,12.903225806451616,False,False,False,False,False
4.75,4.9,3.65,4.61,3694807,2021-07-08 05:00:00,AGRI,2021-07-08,7647.1,False,-99.93788494985027,3.157894736842113,23.15789473684211,False,False,False,False,False
3.06,3.27,2.79,2.86,18752887,2021-05-05 05:00:00,AHT,2021-05-05,30.1,False,-89.83388704318938,6.862745098039214,8.823529411764707,False,False,False,False,False
6.25,7.5,6.0,6.61,690550,2021-02-17 06:00:00,AMPG,2021-02-17,18.0,True,-65.27777777777777,20.0,4.0,False,False,False,False,False
3.9,4.203,3.84,3.86,2982944,2021-10-27 05:00:00,ANGN,2021-10-27,8.69,False,-55.12082853855005,7.76923076923078,1.5384615384615399,False,False,False,False,False
6.35,6.77,5.35,5.5,16104051,2020-12-28 06:00:00,APRE,2020-12-28,25.09,False,-74.69111199681149,6.614173228346456,15.748031496062993,False,False,False,False,False
2.03,2.15,1.81,2.01,140815630,2021-07-20 05:00:00,ARDX,2021-07-20,7.7,False,-73.63636363636364,5.91133004926109,10.83743842364531,False,False,False,False,False
5.45,6.15,5.24,5.46,47987262,2021-03-01 06:00:00,ATNX,2021-03-01,12.1,True,-54.95867768595041,12.84403669724771,3.853211009174311,False,False,False,False,False
4.5,9.97,4.5,9.9,4157,2021-04-26 05:00:00,ATSPT,2021-04-26,9.7814,True,-53.99431574212281,121.55555555555559,0.0,True,False,True,False,True
