open,high,low,close,volume,datetime,symbol,date_only,close_yesterday,diff_percent,gap_up,pre_open,pre_open_time,pre_high,pre_high_time,pre_low,pre_low_time,pre_close,pre_close_time,first_fifteen_open,first_fifteen_open_time,first_fifteen_high,first_fifteen_high_time,first_fifteen_low,first_fifteen_low_time,first_fifteen_close,first_fifteen_close_time,first_thirty_open,first_thirty_open_time,first_thirty_high,first_thirty_high_time,first_thirty_low,first_thirty_low_time,first_thirty_close,first_thirty_close_time,first_hour_open,first_hour_open_time,first_hour_high,first_hour_high_time,first_hour_low,first_hour_low_time,first_hour_close,first_hour_close_time,ten_thirty_to_close_open,ten_thirty_to_close_open_time,ten_thirty_to_close_high,ten_thirty_to_close_high_time,ten_thirty_to_close_low,ten_thirty_to_close_low_time,ten_thirty_to_close_close,ten_thirty_to_close_close_time,second_fifteen_open,second_fifteen_open_time,second_fifteen_high,second_fifteen_high_time,second_fifteen_low,second_fifteen_low_time,second_fifteen_close,second_fifteen_close_time,second_thirty_open,second_thirty_open_time,second_thirty_high,second_thirty_high_time,second_thirty_low,second_thirty_low_time,second_thirty_close,second_thirty_close_time,second_hour_open,second_hour_open_time,second_hour_high,second_hour_high_time,second_hour_low,second_hour_low_time,second_hour_close,second_hour_close_time,eleven_thirty_to_close_open,eleven_thirty_to_close_open_time,eleven_thirty_to_close_high,eleven_thirty_to_close_high_time,eleven_thirty_to_close_low,eleven_thirty_to_close_low_time,eleven_thirty_to_close_close,eleven_thirty_to_close_close_time,third_fifteen_open,third_fifteen_open_time,third_fifteen_high,third_fifteen_high_time,third_fifteen_low,third_fifteen_low_time,third_fifteen_close,third_fifteen_close_time,third_thirty_open,third_thirty_open_time,third_thirty_high,third_thirty_high_time,third_thirty_low,third_thirty_low_time,third_thirty_close,third_thirty_close_time,third_hour_open,third_hour_open_time,third_hour_high,third_hour_high_time,third_hour_low,third_hour_low_time,third_hour_close,third_hour_close_time,twelve_thirty_to_close_open,twelve_thirty_to_close_open_time,twelve_thirty_to_close_high,twelve_thirty_to_close_high_time,twelve_thirty_to_close_low,twelve_thirty_to_close_low_time,twelve_thirty_to_close_close,twelve_thirty_to_close_close_time,float,shares,market_cap
3.67,19.75,3.45,14.3,315842280,2021-02-04 06:00:00,AACG,2021-02-04,1.36,169.85294117647055,True,3.54,07:35:00,4.86,09:30:00,3.17,08:30:00,4.66,09:30:00,4.6578,09:35:00,5.2,09:40:00,3.45,09:30:00,4.4899,09:45:00,4.6578,09:35:00,5.47,09:55:00,3.45,09:30:00,5.08,10:00:00,4.6578,09:35:00,5.67,10:05:00,3.45,09:30:00,4.3681,10:30:00,4.36,10:35:00,19.75,15:30:00,4.01,12:40:00,14.97,16:00:00,4.4701,09:50:00,5.47,09:55:00,4.4284,09:45:00,5.08,10:00:00,5.06,10:05:00,5.67,10:05:00,4.2,10:30:00,4.3681,10:30:00,4.36,10:35:00,5.07,10:45:00,4.11,11:20:00,4.2492,11:30:00,4.24,11:35:00,19.75,15:30:00,4.01,12:40:00,14.97,16:00:00,5.06,10:05:00,5.67,10:05:00,4.57,10:15:00,4.6801,10:15:00,4.36,10:35:00,5.07,10:45:00,4.2,10:30:00,4.3815,11:00:00,4.24,11:35:00,4.7,11:50:00,4.16,11:35:00,4.32,12:30:00,4.3284,12:35:00,19.75,15:30:00,4.01,12:40:00,14.97,16:00:00,8.74,28.85,39.24
3.75,15.97,3.6,5.2,111912807,2021-02-05 06:00:00,AAME,2021-02-05,2.39,56.90376569037657,True,4.27,07:35:00,4.32,07:30:00,3.53,08:15:00,4.03,09:30:00,4.03,09:35:00,5.61,09:45:00,3.6,09:30:00,5.61,09:45:00,4.03,09:35:00,8.65,10:00:00,3.6,09:30:00,7.7116,10:00:00,4.03,09:35:00,14.24,10:25:00,3.6,09:30:00,12.0065,10:30:00,12.06,10:35:00,15.97,12:30:00,4.99,15:55:00,5.13,16:00:00,5.6,09:50:00,8.65,10:00:00,4.06,09:45:00,7.7116,10:00:00,7.7,10:05:00,14.24,10:25:00,6.76,10:05:00,12.0065,10:30:00,12.06,10:35:00,14.23,10:30:00,7.92,10:55:00,11.4,11:30:00,11.4,11:35:00,15.97,12:30:00,4.99,15:55:00,5.13,16:00:00,7.7,10:05:00,11.2,10:15:00,6.76,10:05:00,11.2,10:15:00,12.06,10:35:00,14.23,10:30:00,7.92,10:55:00,9.7,11:00:00,11.4,11:35:00,15.97,12:30:00,9.02,11:50:00,12.8,12:30:00,12.82,12:35:00,15.97,12:30:00,4.99,15:55:00,5.13,16:00:00,4.04,20.41,48.78
13.19,14.48,10.38,11.21,166979166,2020-11-09 06:00:00,ACB,2020-11-09,9.79,34.72931562819204,True,12.0,07:35:00,14.48,09:30:00,11.37,07:35:00,12.95,09:30:00,12.93,09:35:00,14.48,09:30:00,11.8,09:45:00,12.6387,09:45:00,12.93,09:35:00,14.48,09:30:00,11.01,10:00:00,11.14,10:00:00,12.93,09:35:00,14.48,09:30:00,10.85,10:25:00,11.46,10:30:00,11.4416,10:35:00,12.33,12:25:00,10.38,15:20:00,11.44,16:00:00,12.635,09:50:00,12.72,09:45:00,11.01,10:00:00,11.14,10:00:00,11.13,10:05:00,12.17,10:00:00,10.85,10:25:00,11.46,10:30:00,11.4416,10:35:00,12.0,10:45:00,11.09,10:30:00,11.579,11:30:00,11.58,11:35:00,12.33,12:25:00,10.38,15:20:00,11.44,16:00:00,11.13,10:05:00,12.17,10:00:00,11.0,10:05:00,11.04,10:15:00,11.4416,10:35:00,12.0,10:45:00,11.09,10:30:00,11.58,11:00:00,11.58,11:35:00,12.33,12:25:00,11.4,11:40:00,12.12,12:30:00,12.13,12:35:00,12.24,12:30:00,10.38,15:20:00,11.44,16:00:00,196.81,197.98,1938.22
4.78,4.78,4.05,4.39,2667104,2021-01-25 06:00:00,ACER,2021-01-25,3.67,30.245231607629435,True,4.39,07:35:00,5.44,08:35:00,4.36,07:35:00,4.4348,09:30:00,4.49,09:35:00,4.78,09:30:00,4.12,09:45:00,4.24,09:45:00,4.49,09:35:00,4.78,09:30:00,4.12,09:45:00,4.26,10:00:00,4.49,09:35:00,4.78,09:30:00,4.12,09:45:00,4.485,10:30:00,4.48,10:35:00,4.65,10:40:00,4.05,11:10:00,4.39,16:00:00,4.2185,09:50:00,4.33,10:00:00,4.12,09:45:00,4.26,10:00:00,4.32,10:05:00,4.5,10:15:00,4.2,10:00:00,4.485,10:30:00,4.48,10:35:00,4.65,10:40:00,4.05,11:10:00,4.18,11:30:00,4.18,11:35:00,4.5499,12:40:00,4.15,11:30:00,4.39,16:00:00,4.32,10:05:00,4.5,10:15:00,4.2,10:00:00,4.5,10:15:00,4.48,10:35:00,4.65,10:40:00,4.25,11:00:00,4.2734,11:00:00,4.18,11:35:00,4.44,12:15:00,4.15,11:30:00,4.39,12:30:00,4.3899,12:35:00,4.5499,12:40:00,4.2,14:55:00,4.39,16:00:00,12.12,14.14,51.89
5.3,5.39,4.0,4.2,21978102,2021-03-15 05:00:00,ACER,2021-03-15,3.41,55.42521994134896,True,6.1,07:35:00,6.35,07:30:00,5.0,09:30:00,5.2688,09:30:00,5.27,09:35:00,5.39,09:30:00,4.58,09:45:00,4.62,09:45:00,5.27,09:35:00,5.39,09:30:00,4.42,09:55:00,4.48,10:00:00,5.27,09:35:00,5.39,09:30:00,4.17,10:30:00,4.23,10:30:00,4.23,10:35:00,4.44,12:55:00,4.0,10:50:00,4.24,16:00:00,4.64,09:50:00,4.84,09:45:00,4.42,09:55:00,4.48,10:00:00,4.48,10:05:00,4.59,10:00:00,4.17,10:30:00,4.23,10:30:00,4.23,10:35:00,4.31,10:30:00,4.0,10:50:00,4.0699,11:30:00,4.0572,11:35:00,4.44,12:55:00,4.0,11:30:00,4.24,16:00:00,4.48,10:05:00,4.59,10:00:00,4.35,10:05:00,4.457,10:15:00,4.23,10:35:00,4.31,10:30:00,4.0,10:50:00,4.15,11:00:00,4.0572,11:35:00,4.4,12:30:00,4.0,11:30:00,4.29,12:30:00,4.33,12:35:00,4.44,12:55:00,4.13,13:40:00,4.24,16:00:00,12.12,14.14,48.22
11.62,12.5,7.96,8.43,27713744,2021-02-11 06:00:00,ACIU,2021-02-11,7.31,58.96032831737346,True,16.9,07:35:00,20.55,07:30:00,10.87,09:30:00,11.6836,09:30:00,11.56,09:35:00,12.5,09:30:00,10.31,09:45:00,10.4428,09:45:00,11.56,09:35:00,12.5,09:30:00,9.55,10:00:00,9.8,10:00:00,11.56,09:35:00,12.5,09:30:00,9.28,10:25:00,9.34,10:30:00,9.345,10:35:00,9.69,10:35:00,7.96,13:15:00,8.48,16:00:00,10.45,09:50:00,10.85,09:45:00,9.55,10:00:00,9.8,10:00:00,9.7912,10:05:00,11.2372,10:10:00,9.28,10:25:00,9.34,10:30:00,9.345,10:35:00,9.69,10:35:00,8.43,11:25:00,8.677,11:30:00,8.7288,11:35:00,9.16,12:15:00,7.96,13:15:00,8.48,16:00:00,9.7912,10:05:00,11.2372,10:10:00,9.55,10:00:00,9.945,10:15:00,9.345,10:35:00,9.69,10:35:00,8.88,11:00:00,8.96,11:00:00,8.7288,11:35:00,9.16,12:15:00,8.08,12:25:00,8.19,12:30:00,8.1941,12:35:00,8.69,14:20:00,7.96,13:15:00,8.48,16:00:00,35.33,72.31,528.59
7.32,9.84,5.55,5.772,18395439,2020-10-20 05:00:00,ACOR,2020-10-20,4.14,76.81159420289858,True,7.26,07:35:00,8.16,09:30:00,6.72,08:40:00,8.1,09:30:00,8.16,09:35:00,9.84,09:40:00,6.9,09:30:00,7.7286,09:45:00,8.16,09:35:00,9.84,09:40:00,6.42,10:00:00,6.6594,10:00:00,8.16,09:35:00,9.84,09:40:00,6.18,10:20:00,6.7884,10:30:00,6.8202,10:35:00,7.08,10:35:00,5.55,11:20:00,5.76,16:00:00,7.6884,09:50:00,8.16,09:45:00,6.42,10:00:00,6.6594,10:00:00,6.6,10:05:00,6.9,10:10:00,6.18,10:20:00,6.7884,10:30:00,6.8202,10:35:00,7.08,10:35:00,5.55,11:20:00,5.6928,11:30:00,5.6934,11:35:00,6.54,12:30:00,5.58,11:35:00,5.76,16:00:00,6.6,10:05:00,6.9,10:10:00,6.36,10:15:00,6.39,10:15:00,6.8202,10:35:00,7.08,10:35:00,5.727,11:00:00,5.7666,11:00:00,5.6934,11:35:00,6.54,12:30:00,5.58,11:35:00,6.42,12:30:00,6.42,12:35:00,6.54,12:30:00,5.7,14:55:00,5.76,16:00:00,9.31,9.47,39.21
7.16,7.18,5.5,6.12,36771603,2021-01-13 06:00:00,ACOR,2021-01-13,4.24,68.86792452830188,True,6.4,07:35:00,7.77,08:50:00,6.22,07:30:00,6.72,09:30:00,6.7101,09:35:00,7.18,09:30:00,6.23,09:45:00,6.3,09:45:00,6.7101,09:35:00,7.18,09:30:00,6.12,10:00:00,6.1672,10:00:00,6.7101,09:35:00,7.18,09:30:00,5.81,10:20:00,5.986,10:30:00,5.98,10:35:00,6.98,13:55:00,5.5,12:35:00,6.19,16:00:00,6.3,09:50:00,6.77,09:45:00,6.12,10:00:00,6.1672,10:00:00,6.16,10:05:00,6.474,10:00:00,5.81,10:20:00,5.986,10:30:00,5.98,10:35:00,6.29,11:00:00,5.76,11:25:00,5.85,11:30:00,5.85,11:35:00,6.98,13:55:00,5.5,12:35:00,6.19,16:00:00,6.16,10:05:00,6.474,10:00:00,5.94,10:15:00,6.0095,10:15:00,5.98,10:35:00,6.29,11:00:00,5.85,10:35:00,6.1928,11:00:00,5.85,11:35:00,5.94,11:30:00,5.52,12:30:00,5.55,12:30:00,5.53,12:35:00,6.98,13:55:00,5.5,12:35:00,6.19,16:00:00,9.31,9.47,40.15
14.05,19.95,13.29,18.83,114362153,2021-01-19 06:00:00,ACRS,2021-01-19,5.88,138.94557823129256,True,8.42,07:35:00,15.5,09:30:00,8.2,07:30:00,13.72,09:30:00,13.72,09:35:00,15.5,09:30:00,13.29,09:40:00,13.61,09:45:00,13.72,09:35:00,16.69,09:55:00,13.29,09:40:00,15.34,10:00:00,13.72,09:35:00,16.9,10:30:00,13.29,09:40:00,16.87,10:30:00,16.86,10:35:00,19.95,15:15:00,14.71,10:30:00,17.69,16:00:00,13.6199,09:50:00,16.69,09:55:00,13.31,09:45:00,15.34,10:00:00,15.3234,10:05:00,16.9,10:30:00,14.67,10:15:00,16.87,10:30:00,16.86,10:35:00,19.8,11:30:00,14.71,10:30:00,19.05,11:30:00,19.06,11:35:00,19.95,15:15:00,15.8599,13:10:00,17.69,16:00:00,15.3234,10:05:00,16.29,10:00:00,14.67,10:15:00,14.74,10:15:00,16.86,10:35:00,19.4461,11:00:00,14.71,10:30:00,19.2426,11:00:00,19.06,11:35:00,19.8,11:30:00,16.69,12:30:00,16.69,12:30:00,16.69,12:35:00,19.95,15:15:00,15.8599,13:10:00,17.69,16:00:00,40.49,50.34,296.00
0.325,0.5652,0.311,0.43,563040360,2020-12-23 06:00:00,ACST,2020-12-23,0.25,30.000000000000004,True,0.2909,07:35:00,0.366,08:10:00,0.2828,07:30:00,0.3173,09:30:00,0.3172,09:35:00,0.3661,09:45:00,0.311,09:30:00,0.36495,09:45:00,0.3172,09:35:00,0.3895,10:00:00,0.311,09:30:00,0.38,10:00:00,0.3172,09:35:00,0.3895,10:00:00,0.311,09:30:00,0.3609,10:30:00,0.361,10:35:00,0.5652,12:40:00,0.342,10:30:00,0.4703,16:00:00,0.3649,09:50:00,0.3895,10:00:00,0.3401,09:55:00,0.38,10:00:00,0.3798,10:05:00,0.3895,10:00:00,0.342,10:30:00,0.3609,10:30:00,0.361,10:35:00,0.4785,11:20:00,0.342,10:30:00,0.445381,11:30:00,0.4454,11:35:00,0.5652,12:40:00,0.403,11:55:00,0.4703,16:00:00,0.3798,10:05:00,0.3895,10:00:00,0.362,10:10:00,0.376237,10:15:00,0.361,10:35:00,0.412,10:55:00,0.342,10:30:00,0.4,11:00:00,0.4454,11:35:00,0.488,12:20:00,0.403,11:55:00,0.4786,12:30:00,0.478799,12:35:00,0.5652,12:40:00,0.4052,15:30:00,0.4703,16:00:00,179.14,200.12,50.03
