open,high,low,close,volume,datetime,symbol,date_only,close_yesterday,closed_up,gap_percent,max_up_percent,max_down_percent,max_up_percent_30,max_down_percent_30,max_up_percent_50,max_down_percent_50,max_up_percent_100,float,shares,market_cap,DATA_MISSING_FINVIZ,pre_market_open,pre_market_high,pre_market_high_time,pre_market_high_touch,pre_market_low,pre_market_low_time,pre_market_low_touch,pre_market_close,day_open,day_high,day_high_time,day_high_touch,day_low,day_low_time,day_low_touch,day_close,930_945_open,930_945_high,930_945_high_time,930_945_high_touch,930_945_low,930_945_low_time,930_945_low_touch,930_945_close,945_950_open,945_950_high,945_950_high_time,945_950_high_touch,945_950_low,945_950_low_time,945_950_low_touch,945_950_close,945_955_open,945_955_high,945_955_high_time,945_955_high_touch,945_955_low,945_955_low_time,945_955_low_touch,945_955_close,945_10_open,945_10_high,945_10_high_time,945_10_high_touch,945_10_low,945_10_low_time,945_10_low_touch,945_10_close,945_4_open,945_4_high,945_4_high_time,945_4_high_touch,945_4_low,945_4_low_time,945_4_low_touch,945_4_close,930_10_open,930_10_high,930_10_high_time,930_10_high_touch,930_10_low,930_10_low_time,930_10_low_touch,930_10_close,10_4_open,10_4_high,10_4_high_time,10_4_high_touch,10_4_low,10_4_low_time,10_4_low_touch,10_4_close,930_1030_open,930_1030_high,930_1030_high_time,930_1030_high_touch,930_1030_low,930_1030_low_time,930_1030_low_touch,930_1030_close,1030_4_open,1030_4_high,1030_4_high_time,1030_4_high_touch,1030_4_low,1030_4_low_time,1030_4_low_touch,1030_4_close,930_11_open,930_11_high,930_11_high_time,930_11_high_touch,930_11_low,930_11_low_time,930_11_low_touch,930_11_close,11_4_open,11_4_high,11_4_high_time,11_4_high_touch,11_4_low,11_4_low_time,11_4_low_touch,11_4_close,1130_4_open,1130_4_high,1130_4_high_time,1130_4_high_touch,1130_4_low,1130_4_low_time,1130_4_low_touch,1130_4_close,12_4_open,12_4_high,12_4_high_time,12_4_high_touch,12_4_low,12_4_low_time,12_4_low_touch,12_4_close,DATA_MISSING_5MIN,DATA_MISSING_STATS
3.67,19.75,3.45,14.3,315842280,2021-02-04 06:00:00,AACG,2021-02-04,1.36,True,169.85294117647055,438.1471389645776,5.99455040871934,True,False,True,False,True,33.68,33.68,45.8,,3.54,4.86,09:30:00,1.0,3.17,08:30:00,3.0,4.66,4.6578,19.75,15:30:00,1.0,3.45,09:30:00,1.0,14.97,4.6578,5.2,09:40:00,1.0,3.45,09:30:00,1.0,4.4899,4.4701,4.9564,09:45:00,1.0,4.4284,09:45:00,1.0,4.74,4.4701,5.47,09:55:00,1.0,4.4284,09:45:00,1.0,5.0901,4.4701,5.47,09:55:00,1.0,4.4284,09:45:00,1.0,5.08,4.4701,19.75,15:30:00,1.0,4.01,12:40:00,1.0,14.97,4.6578,5.47,09:55:00,1.0,3.45,09:30:00,1.0,5.08,5.06,19.75,15:30:00,1.0,4.01,12:40:00,1.0,14.97,4.6578,5.67,10:05:00,1.0,3.45,09:30:00,1.0,4.3681,4.36,19.75,15:30:00,1.0,4.01,12:40:00,1.0,14.97,4.6578,5.67,10:05:00,1.0,3.45,09:30:00,1.0,4.3815,4.3881,19.75,15:30:00,1.0,4.01,12:40:00,1.0,14.97,4.24,19.75,15:30:00,1.0,4.01,12:40:00,1.0,14.97,4.3299,19.75,15:30:00,1.0,4.01,12:40:00,1.0,14.97,,
20.33,21.77,16.82,18.1,319607570,2021-01-28 06:00:00,AAL,2021-01-28,16.56,False,22.765700483091784,7.083128381701925,17.265125430398417,False,False,False,False,False,648.56,648.56,10740.15,,20.53,31.0,08:00:00,1.0,19.09,07:30:00,1.0,21.445,21.46,21.77,09:35:00,1.0,16.82,11:40:00,1.0,18.08,21.46,21.77,09:35:00,1.0,20.0,09:30:00,1.0,20.875,20.85,21.65,09:45:00,1.0,20.3,09:45:00,1.0,20.8299,20.85,21.65,09:45:00,1.0,19.58,09:55:00,1.0,19.6578,20.85,21.65,09:45:00,1.0,18.77,10:00:00,1.0,19.25,20.85,21.65,09:45:00,1.0,16.82,11:40:00,1.0,18.08,21.46,21.77,09:35:00,1.0,18.77,10:00:00,1.0,19.25,19.255,19.73,10:00:00,1.0,16.82,11:40:00,1.0,18.08,21.46,21.77,09:35:00,1.0,18.52,10:15:00,1.0,19.41,19.41,19.58,10:30:00,1.0,16.82,11:40:00,1.0,18.08,21.46,21.77,09:35:00,1.0,17.72,10:55:00,1.0,18.3,18.3,18.47,11:05:00,1.0,16.82,11:40:00,1.0,18.08,17.825,18.42,14:55:00,1.0,16.82,11:40:00,1.0,18.08,17.9999,18.42,14:55:00,1.0,17.52,12:00:00,1.0,18.08,,
3.75,15.97,3.6,5.2,111912807,2021-02-05 06:00:00,AAME,2021-02-05,2.39,True,56.90376569037657,325.8666666666667,3.999999999999998,True,False,True,False,True,21.79,21.79,52.08,,4.27,4.32,07:30:00,1.0,3.53,08:15:00,1.0,4.03,4.03,15.97,12:30:00,1.0,3.6,09:30:00,1.0,5.13,4.03,5.61,09:45:00,1.0,3.6,09:30:00,1.0,5.61,5.6,6.7,09:50:00,1.0,4.06,09:45:00,1.0,6.04,5.6,7.22,09:55:00,1.0,4.06,09:45:00,1.0,6.98,5.6,8.65,10:00:00,1.0,4.06,09:45:00,1.0,7.7116,5.6,15.97,12:30:00,1.0,4.06,09:45:00,1.0,5.13,4.03,8.65,10:00:00,1.0,3.6,09:30:00,1.0,7.7116,7.7,15.97,12:30:00,1.0,4.99,15:55:00,1.0,5.13,4.03,14.24,10:25:00,1.0,3.6,09:30:00,1.0,12.0065,12.06,15.97,12:30:00,1.0,4.99,15:55:00,1.0,5.13,4.03,14.24,10:25:00,1.0,3.6,09:30:00,1.0,9.7,9.61,15.97,12:30:00,1.0,4.99,15:55:00,1.0,5.13,11.4,15.97,12:30:00,1.0,4.99,15:55:00,1.0,5.13,11.37,15.97,12:30:00,1.0,4.99,15:55:00,1.0,5.13,,
5.49,6.74,5.12,5.7,19828244,2021-03-19 05:00:00,AAME,2021-03-19,4.54,True,20.9251101321586,22.76867030965392,6.739526411657562,False,False,False,False,False,21.79,21.79,98.93,,5.2,6.7,09:30:00,1.0,5.1,08:00:00,1.0,6.44,6.44,6.74,09:35:00,1.0,5.12,11:25:00,1.0,5.57,6.44,6.74,09:35:00,1.0,5.45,09:30:00,1.0,6.2933,6.25,6.5,09:50:00,1.0,5.87,09:45:00,1.0,6.3102,6.25,6.58,09:55:00,1.0,5.87,09:45:00,1.0,6.4299,6.25,6.58,09:55:00,2.0,5.87,09:45:00,1.0,6.17,6.25,6.58,09:55:00,2.0,5.12,11:25:00,1.0,5.57,6.44,6.74,09:35:00,1.0,5.45,09:30:00,1.0,6.17,6.2,6.58,10:00:00,1.0,5.12,11:25:00,1.0,5.57,6.44,6.74,09:35:00,1.0,5.3,10:15:00,2.0,5.36,5.3638,5.73,15:55:00,1.0,5.12,11:25:00,1.0,5.57,6.44,6.74,09:35:00,1.0,5.17,10:50:00,1.0,5.325,5.34,5.73,15:55:00,1.0,5.12,11:25:00,1.0,5.57,5.18,5.73,15:55:00,1.0,5.13,11:30:00,1.0,5.57,5.2093,5.73,15:55:00,1.0,5.17,12:00:00,2.0,5.57,,
4.06,4.75,3.19,3.59,53095657,2021-09-01 05:00:00,ABVC,2021-09-01,2.9,False,39.99999999999999,16.995073891625626,21.428571428571423,False,False,False,False,False,24.42,24.42,70.82,,3.0,4.59,09:00:00,1.0,2.99,07:45:00,1.0,4.245,4.25,4.75,09:55:00,1.0,3.19,13:15:00,1.0,3.4,4.25,4.43,09:30:00,2.0,3.94,09:30:00,1.0,4.375,4.371,4.43,09:45:00,1.0,4.0,09:45:00,1.0,4.34,4.371,4.75,09:55:00,1.0,4.0,09:45:00,1.0,4.3699,4.371,4.75,09:55:00,1.0,4.0,09:45:00,1.0,4.07,4.371,4.75,09:55:00,1.0,3.19,13:15:00,1.0,3.4,4.25,4.75,09:55:00,1.0,3.94,09:30:00,1.0,4.07,4.07,4.3899,10:00:00,1.0,3.19,13:15:00,1.0,3.4,4.25,4.75,09:55:00,1.0,3.63,10:15:00,1.0,3.8097,3.808,3.86,11:00:00,1.0,3.19,13:15:00,1.0,3.4,4.25,4.75,09:55:00,1.0,3.63,10:15:00,1.0,3.76,3.7603,3.86,11:00:00,1.0,3.19,13:15:00,1.0,3.4,3.47,3.6,15:50:00,2.0,3.19,13:15:00,1.0,3.4,3.33,3.6,15:50:00,2.0,3.19,13:15:00,1.0,3.4,,
4.78,4.78,4.05,4.39,2667104,2021-01-25 06:00:00,ACER,2021-01-25,3.67,False,30.245231607629435,0.0,15.27196652719666,False,False,False,False,False,14.31,14.31,52.52,,4.39,5.44,08:35:00,1.0,4.36,07:35:00,1.0,4.4348,4.49,4.78,09:30:00,1.0,4.05,11:10:00,1.0,4.39,4.49,4.78,09:30:00,1.0,4.12,09:45:00,1.0,4.24,4.2185,4.3,09:45:00,1.0,4.12,09:45:00,1.0,4.17,4.2185,4.3,09:45:00,1.0,4.12,09:45:00,1.0,4.2001,4.2185,4.33,10:00:00,1.0,4.12,09:45:00,1.0,4.26,4.2185,4.65,10:40:00,1.0,4.05,11:10:00,1.0,4.39,4.49,4.78,09:30:00,1.0,4.12,09:45:00,1.0,4.26,4.32,4.65,10:40:00,1.0,4.05,11:10:00,1.0,4.39,4.49,4.78,09:30:00,1.0,4.12,09:45:00,1.0,4.485,4.48,4.65,10:40:00,1.0,4.05,11:10:00,1.0,4.39,4.49,4.78,09:30:00,1.0,4.12,09:45:00,1.0,4.2734,4.2896,4.5499,12:40:00,1.0,4.05,11:10:00,1.0,4.39,4.18,4.5499,12:40:00,1.0,4.15,11:30:00,1.0,4.39,4.2199,4.5499,12:40:00,1.0,4.17,12:00:00,1.0,4.39,,
5.3,5.39,4.0,4.2,21978102,2021-03-15 05:00:00,ACER,2021-03-15,3.41,False,55.42521994134896,1.6981132075471672,24.52830188679245,False,False,False,False,False,14.31,14.31,48.8,,6.1,6.35,07:30:00,1.0,5.0,09:30:00,1.0,5.2688,5.27,5.39,09:30:00,1.0,4.0,10:50:00,3.0,4.24,5.27,5.39,09:30:00,1.0,4.58,09:45:00,1.0,4.62,4.64,4.84,09:45:00,1.0,4.47,09:50:00,1.0,4.5615,4.64,4.84,09:45:00,1.0,4.42,09:55:00,1.0,4.54,4.64,4.84,09:45:00,1.0,4.42,09:55:00,1.0,4.48,4.64,4.84,09:45:00,1.0,4.0,10:50:00,3.0,4.24,5.27,5.39,09:30:00,1.0,4.42,09:55:00,1.0,4.48,4.48,4.59,10:00:00,1.0,4.0,10:50:00,3.0,4.24,5.27,5.39,09:30:00,1.0,4.17,10:30:00,1.0,4.23,4.23,4.44,12:55:00,3.0,4.0,10:50:00,3.0,4.24,5.27,5.39,09:30:00,1.0,4.0,10:50:00,2.0,4.15,4.14,4.44,12:55:00,3.0,4.0,11:30:00,1.0,4.24,4.0572,4.44,12:55:00,3.0,4.0,11:30:00,1.0,4.24,4.22,4.44,12:55:00,3.0,4.11,12:10:00,1.0,4.24,,
11.62,12.5,7.96,8.43,27713744,2021-02-11 06:00:00,ACIU,2021-02-11,7.31,False,58.96032831737346,7.573149741824449,31.497418244406195,False,True,False,False,False,72.72,72.72,531.58,,16.9,20.55,07:30:00,1.0,10.87,09:30:00,1.0,11.6836,11.56,12.5,09:30:00,1.0,7.96,13:15:00,1.0,8.48,11.56,12.5,09:30:00,1.0,10.31,09:45:00,1.0,10.4428,10.45,10.85,09:45:00,1.0,9.69,09:50:00,1.0,9.815,10.45,10.85,09:45:00,1.0,9.69,09:50:00,1.0,10.2128,10.45,10.85,09:45:00,1.0,9.55,10:00:00,1.0,9.8,10.45,11.2372,10:10:00,1.0,7.96,13:15:00,1.0,8.48,11.56,12.5,09:30:00,1.0,9.55,10:00:00,1.0,9.8,9.7912,11.2372,10:10:00,1.0,7.96,13:15:00,1.0,8.48,11.56,12.5,09:30:00,1.0,9.28,10:25:00,1.0,9.34,9.345,9.69,10:35:00,1.0,7.96,13:15:00,1.0,8.48,11.56,12.5,09:30:00,1.0,8.88,11:00:00,1.0,8.96,8.96,9.24,11:00:00,1.0,7.96,13:15:00,1.0,8.48,8.7288,9.16,12:15:00,1.0,7.96,13:15:00,1.0,8.48,8.83,9.16,12:15:00,1.0,7.96,13:15:00,1.0,8.48,,
12.01,12.61,7.93,8.13,103089052,2021-08-31 05:00:00,ACIU,2021-08-31,6.99,False,71.81688125894134,4.995836802664443,33.97169025811824,False,True,False,False,False,72.72,72.72,508.31,,10.55,13.1,09:15:00,1.0,7.23,07:30:00,1.0,11.77,11.78,12.61,09:35:00,1.0,7.93,15:55:00,1.0,8.12,11.78,12.61,09:35:00,1.0,11.0301,09:45:00,1.0,11.215,11.2225,11.95,09:45:00,1.0,10.85,09:50:00,1.0,11.08,11.2225,11.95,09:45:00,1.0,10.83,09:55:00,1.0,11.19,11.2225,11.95,09:45:00,1.0,10.83,09:55:00,1.0,11.44,11.2225,12.0199,10:20:00,1.0,7.93,15:55:00,1.0,8.12,11.78,12.61,09:35:00,1.0,10.83,09:55:00,1.0,11.44,11.45,12.0199,10:20:00,1.0,7.93,15:55:00,1.0,8.12,11.78,12.61,09:35:00,1.0,10.7301,10:20:00,1.0,11.17,11.16,11.7,10:30:00,1.0,7.93,15:55:00,1.0,8.12,11.78,12.61,09:35:00,1.0,9.62,11:00:00,1.0,9.66,9.68,10.0,11:00:00,1.0,7.93,15:55:00,1.0,8.12,9.3735,9.6399,12:10:00,1.0,7.93,15:55:00,1.0,8.12,9.3,9.6399,12:10:00,1.0,7.93,15:55:00,1.0,8.12,,
7.16,7.18,5.5,6.12,36771603,2021-01-13 06:00:00,ACOR,2021-01-13,4.24,False,68.86792452830188,0.2793296089385415,23.18435754189944,False,False,False,False,False,9.99,9.99,42.36,,6.4,7.77,08:50:00,1.0,6.22,07:30:00,1.0,6.72,6.7101,7.18,09:30:00,1.0,5.5,12:35:00,1.0,6.19,6.7101,7.18,09:30:00,1.0,6.23,09:45:00,1.0,6.3,6.3,6.77,09:45:00,1.0,6.23,09:45:00,2.0,6.24,6.3,6.77,09:45:00,1.0,6.23,09:45:00,2.0,6.4745,6.3,6.77,09:45:00,1.0,6.12,10:00:00,1.0,6.1672,6.3,6.98,13:55:00,1.0,5.5,12:35:00,1.0,6.19,6.7101,7.18,09:30:00,1.0,6.12,10:00:00,1.0,6.1672,6.16,6.98,13:55:00,1.0,5.5,12:35:00,1.0,6.19,6.7101,7.18,09:30:00,1.0,5.81,10:20:00,1.0,5.986,5.98,6.98,13:55:00,1.0,5.5,12:35:00,1.0,6.19,6.7101,7.18,09:30:00,1.0,5.81,10:20:00,1.0,6.1928,6.18,6.98,13:55:00,1.0,5.5,12:35:00,1.0,6.19,5.85,6.98,13:55:00,1.0,5.5,12:35:00,1.0,6.19,5.66,6.98,13:55:00,1.0,5.5,12:35:00,1.0,6.19,,
5.28,6.36,4.42,4.73,50781037,2021-07-23 05:00:00,ACOR,2021-07-23,3.81,False,38.58267716535434,20.454545454545453,16.287878787878793,False,False,False,False,False,9.99,9.99,38.06,,5.5,5.89,08:17:00,1.0,5.03,09:30:00,1.0,5.12,5.115,6.36,09:40:00,1.0,4.42,13:32:00,1.0,4.7,5.115,6.36,09:40:00,1.0,5.03,09:30:00,1.0,5.31,5.245,5.3,09:49:00,2.0,5.13,09:50:00,1.0,5.1608,5.245,5.3,09:49:00,2.0,4.74,09:55:00,1.0,4.82,5.245,5.3,09:49:00,2.0,4.64,10:00:00,1.0,4.69,5.245,5.75,12:19:00,1.0,4.42,13:32:00,1.0,4.7,5.115,6.36,09:40:00,1.0,4.64,10:00:00,1.0,4.69,4.7,5.75,12:19:00,1.0,4.42,13:32:00,1.0,4.7,5.115,6.36,09:40:00,1.0,4.61,10:02:00,1.0,5.03,5.01,5.75,12:19:00,1.0,4.42,13:32:00,1.0,4.7,5.115,6.36,09:40:00,1.0,4.61,10:02:00,1.0,4.8312,4.8274,5.75,12:19:00,1.0,4.42,13:32:00,1.0,4.7,4.77,5.75,12:19:00,1.0,4.42,13:32:00,1.0,4.7,4.9135,5.75,12:19:00,1.0,4.42,13:32:00,1.0,4.7,,
14.05,19.95,13.29,18.83,114362153,2021-01-19 06:00:00,ACRS,2021-01-19,5.88,True,138.94557823129256,41.99288256227757,5.409252669039157,True,False,False,False,False,53.97,53.97,317.34,,8.42,15.5,09:30:00,1.0,8.2,07:30:00,2.0,13.72,13.72,19.95,15:15:00,1.0,13.29,09:40:00,1.0,17.69,13.72,15.5,09:30:00,1.0,13.29,09:40:00,1.0,13.61,13.6199,15.86,09:50:00,1.0,13.31,09:45:00,1.0,15.8245,13.6199,16.69,09:55:00,1.0,13.31,09:45:00,1.0,16.115,13.6199,16.69,09:55:00,1.0,13.31,09:45:00,1.0,15.34,13.6199,19.95,15:15:00,1.0,13.31,09:45:00,1.0,17.69,13.72,16.69,09:55:00,1.0,13.29,09:40:00,1.0,15.34,15.3234,19.95,15:15:00,1.0,14.67,10:15:00,1.0,17.69,13.72,16.9,10:30:00,1.0,13.29,09:40:00,1.0,16.87,16.86,19.95,15:15:00,1.0,14.71,10:30:00,1.0,17.69,13.72,19.4461,11:00:00,1.0,13.29,09:40:00,1.0,19.2426,19.2,19.95,15:15:00,1.0,15.8599,13:10:00,1.0,17.69,19.06,19.95,15:15:00,1.0,15.8599,13:10:00,1.0,17.69,18.25,19.95,15:15:00,1.0,15.8599,13:10:00,1.0,17.69,,
