open,high,low,close,volume,symbol,date,close_yesterday,open_tomorrow,close_tomorrow,high_tomorrow,low_tomorrow,gap_percent,max_up_percent,max_down_percent,change,close_tomorrow_open_percent,close_tomorrow_high_percent,close_tomorrow_low_percent,sma_9
85.0,88.4799,82.25,82.29,22807565,SRPT,2021-01-08,168.95,87.2,89.76,96.21,84.155,-49.68925717667948,4.094000000000001,3.235294117647059,3.235294117647059,5.966703123101222,16.915785636164767,2.2663750151901745,
4.0768,5.02,3.74,4.94649,9107878,HUT,2021-01-11,6.39,5.25,5.09,5.77,4.6321,-36.20031298904537,23.135792778649897,8.261381475667195,8.261381475667195,6.135866038342344,16.648370864997194,-6.355819985484647,
4.3,4.7,3.9751,4.48,1295246,LEXX,2021-01-12,6.747,4.6,4.4,4.79,4.4,-36.267970950051875,9.302325581395358,7.5558139534883715,7.5558139534883715,2.678571428571411,6.919642857142848,-1.7857142857142871,
8.26,10.0,6.75,7.56,589054,VS,2021-01-15,11.95,8.02,8.04,8.5094,7.68,-30.878661087866107,21.06537530266344,18.280871670702176,18.280871670702176,6.084656084656085,12.558201058201057,1.5873015873015888,
3.0,3.49,3.0,3.4,2840665,COMS,2021-01-22,6.3,3.8,3.65,3.97,3.55,-52.38095238095238,16.33333333333334,0.0,0.0,11.76470588235294,16.76470588235295,4.411764705882351,6.176666666666666
4.25,4.95,4.25,4.65,747557,CRKN,2021-01-26,7.0,4.75,4.39,4.99,4.37,-39.285714285714285,16.47058823529412,0.0,0.0,2.1505376344085945,7.3118279569892435,-6.021505376344091,5.238433333333334
11.98,16.5,6.51,8.63,591223928,AMC,2021-01-28,19.9,14.31,13.26,16.0,11.6,-39.79899497487436,37.72954924874791,45.659432387312194,45.659432387312194,65.81691772885283,85.39976825028967,34.414831981460004,5.145555555555556
5.4,6.39,4.85,5.3,606169,MARPS,2021-01-29,8.98,5.15,4.94,5.15,4.5,-39.8663697104677,18.333333333333318,10.185185185185198,10.185185185185198,-2.830188679245273,-2.830188679245273,-15.094339622641508,4.5166666666666675
1.46,1.69,1.33,1.39,22768527,CEI,2021-01-29,2.09,1.43,1.41,1.44,1.31,-30.143540669856456,15.753424657534246,8.904109589041088,8.904109589041088,2.8776978417266212,3.5971223021582768,-5.755395683453227,1.332222222222222
6.16,7.7,5.9,7.505,7123756,CNCE,2021-02-01,10.47,7.46,6.97,7.68,6.95,-41.16523400191022,25.0,4.220779220779217,4.220779220779217,-0.5996002664890064,2.331778814123915,-7.39506995336442,10.678888888888888
15.895,16.9,13.0,13.59,2531518,YGMZ,2021-02-02,23.2,14.0,12.1,14.08,10.8,-31.487068965517242,6.322743000943687,18.213274614658694,18.213274614658694,3.01692420897719,3.6055923473142033,-20.529801324503303,23.71
22.88,29.54,22.5,25.08,11763031,IMVT,2021-02-02,43.3,26.16,26.87,28.0,25.31,-47.15935334872979,29.10839160839161,1.6608391608391566,1.6608391608391566,4.306220095693788,11.642743221690598,0.917065390749603,40.80444444444444
10.835,12.74,8.8,9.85,170025420,VXRT,2021-02-03,23.33,9.94,9.05,10.5,8.91,-53.557651093013284,17.581910475311485,18.78172588832487,18.78172588832487,0.9137055837563438,6.598984771573607,-9.543147208121821,11.403333333333332
5.4,9.07,5.2,5.82,2050121,RELI,2021-02-09,33.3760683760684,7.0,6.49,7.0,6.0,-83.82074263764407,67.96296296296296,3.703703703703707,3.703703703703707,20.274914089347075,20.274914089347075,3.092783505154634,10.181481481481484
5.5,6.06,5.05,5.18,1720887,GTBP,2021-02-11,8.5,5.35,5.57,5.8099,5.18,-35.294117647058826,10.181818181818175,8.181818181818185,8.181818181818185,3.2818532818532806,12.160231660231663,0.0,7.592388888888889
2.25,2.64,1.92,2.47,8977043,IFMK,2021-02-12,3.3,2.36,2.21,2.4163,2.15,-31.818181818181817,17.33333333333334,14.66666666666667,14.66666666666667,-4.453441295546571,-2.1740890688259142,-12.955465587044545,1.442222222222222
11.9,13.8,11.75,12.3,3303159,UGRO,2021-02-12,47.0,12.5,11.79,13.13,11.26,-74.68085106382979,15.96638655462185,1.2605042016806751,1.2605042016806751,1.6260162601625958,6.747967479674796,-8.455284552845535,38.95583333333334
27.0,34.12,27.0,30.0,739785,SMTI,2021-02-12,41.0,33.88,36.0,39.5126,33.0001,-34.146341463414636,26.370370370370363,0.0,0.0,12.93333333333334,31.708666666666662,10.000333333333344,37.902222222222214
6.25,7.5,6.0,6.61,690550,AMPG,2021-02-17,18.0,7.15,7.45,8.0,6.73,-65.27777777777777,20.0,4.0,4.0,8.169440242057489,21.028744326777606,1.8154311649016657,13.82088888888889
6.0,8.0,5.0,6.4,564343,VINO,2021-02-17,16.35,5.4,5.31,6.0,4.82,-63.30275229357799,33.333333333333336,16.666666666666668,16.666666666666668,-15.625,-6.250000000000005,-24.6875,17.950000000000003
29.44,32.9,24.41,30.5,11315296,EBIX,2021-02-22,50.74,28.98,23.2,29.44,22.72,-41.978715017737485,11.752717391304337,17.08559782608696,17.08559782608696,-4.983606557377048,-3.4754098360655696,-25.508196721311478,52.166666666666664
2.72,3.36,2.55,3.0,16367654,OTIC,2021-02-22,5.39,2.87,2.88,2.98,2.77,-49.53617810760667,23.52941176470587,6.250000000000012,6.250000000000012,-4.3333333333333295,-0.6666666666666673,-7.666666666666667,5.36
35.02,43.94,30.0,35.21,190447857,LCID,2021-02-23,57.37,35.64,28.7,35.72,27.85,-38.95764336761373,25.4711593375214,14.334665905197038,14.334665905197038,1.2212439647827313,1.4484521442771883,-20.903152513490486,46.105555555555554
8.25,10.49,8.0,9.02,10830427,CRMD,2021-03-01,15.0,8.91,7.62,9.18,7.6,-45.0,27.151515151515156,3.0303030303030303,3.0303030303030303,-1.219512195121945,1.7738359201773852,-15.74279379157428,15.896666666666667
5.45,6.15,5.24,5.46,47987262,ATNX,2021-03-01,12.1,5.59,5.38,5.93,5.32,-54.95867768595041,12.84403669724771,3.853211009174311,3.853211009174311,2.380952380952379,8.608058608058602,-2.564102564102558,12.26
33.87,34.4537,29.06,31.62,10458053,OTRK,2021-03-01,58.94,31.13,28.86,32.79,28.33,-42.534781133355956,1.7233540005904942,14.201358134041923,14.201358134041923,-1.549652118912087,3.7001897533206773,-10.40480708412398,69.63
1.63,1.7,1.3497,1.38,14881338,SLNO,2021-03-08,2.69,1.42,1.4,1.47,1.36,-39.405204460966544,4.2944785276073665,17.19631901840491,17.19631901840491,2.898550724637684,6.5217391304347885,-1.449275362318826,2.6155555555555554
18.5,20.4,18.25,19.51,7503958,ANAB,2021-03-08,29.47,19.405,19.0,19.405,17.72,-37.224295894129625,10.270270270270263,1.3513513513513513,1.3513513513513513,-0.538185545873913,-0.538185545873913,-9.17478216299335,27.753333333333334
25.95,26.25,23.35,25.02,24262437,ACAD,2021-03-09,45.78,25.61,26.89,28.87,25.56,-43.31585845347313,1.1560693641618525,10.019267822736023,10.019267822736023,2.3581135091926453,15.387689848121507,2.158273381294961,47.721111111111114
