title,percent_true
total,268
closed_up,25
max_up_percent_30,24
max_down_percent_30,17
max_up_percent_50,11
max_down_percent_50,1
max_up_percent_100,4
pre_market_never_broke_pre,100
pre_market_never_broke_open,42
pre_market_always_gt_open,0
pre_market_always_lt_open,2
pre_market_crosses_open,97
pre_market_closed_up,64
pre_market_max_hi_10p,64
pre_market_max_hi_25p,41
pre_market_max_hi_50p,17
pre_market_max_hi_100p,5
pre_market_max_low_10p,34
pre_market_max_low_25p,8
pre_market_max_low_50p,0
pre_market_max_low_100p,0
day_never_broke_pre,54
day_never_broke_open,55
day_always_gt_open,0
day_always_lt_open,0
day_crosses_open,100
day_closed_up,26
day_max_hi_10p,61
day_max_hi_25p,27
day_max_hi_50p,10
day_max_hi_100p,4
day_max_low_10p,79
day_max_low_25p,27
day_max_low_50p,0
day_max_low_100p,0
930_945_never_broke_pre,73
930_945_never_broke_open,99
930_945_always_gt_open,0
930_945_always_lt_open,0
930_945_crosses_open,99
930_945_closed_up,33
930_945_max_hi_10p,45
930_945_max_hi_25p,5
930_945_max_hi_50p,0
930_945_max_hi_100p,0
930_945_max_low_10p,36
930_945_max_low_25p,0
930_945_max_low_50p,0
930_945_max_low_100p,0
945_950_never_broke_pre,77
945_950_never_broke_open,81
945_950_always_gt_open,19
945_950_always_lt_open,42
945_950_crosses_open,38
945_950_closed_up,48
945_950_max_hi_10p,14
945_950_max_hi_25p,0
945_950_max_hi_50p,0
945_950_max_hi_100p,0
945_950_max_low_10p,9
945_950_max_low_25p,2
945_950_max_low_50p,1
945_950_max_low_100p,1
945_955_never_broke_pre,75
945_955_never_broke_open,77
945_955_always_gt_open,16
945_955_always_lt_open,39
945_955_crosses_open,44
945_955_closed_up,48
945_955_max_hi_10p,21
945_955_max_hi_25p,1
945_955_max_hi_50p,0
945_955_max_hi_100p,0
945_955_max_low_10p,14
945_955_max_low_25p,1
945_955_max_low_50p,0
945_955_max_low_100p,0
945_10_never_broke_pre,70
945_10_never_broke_open,72
945_10_always_gt_open,14
945_10_always_lt_open,36
945_10_crosses_open,49
945_10_closed_up,44
945_10_max_hi_10p,27
945_10_max_hi_25p,4
945_10_max_hi_50p,0
945_10_max_hi_100p,0
945_10_max_low_10p,19
945_10_max_low_25p,0
945_10_max_low_50p,0
945_10_max_low_100p,0
945_4_never_broke_pre,59
945_4_never_broke_open,55
945_4_always_gt_open,4
945_4_always_lt_open,24
945_4_crosses_open,71
945_4_closed_up,26
945_4_max_hi_10p,49
945_4_max_hi_25p,24
945_4_max_hi_50p,8
945_4_max_hi_100p,3
945_4_max_low_10p,69
945_4_max_low_25p,21
945_4_max_low_50p,1
945_4_max_low_100p,0
930_10_never_broke_pre,64
930_10_never_broke_open,72
930_10_always_gt_open,0
930_10_always_lt_open,0
930_10_crosses_open,100
930_10_closed_up,35
930_10_max_hi_10p,53
930_10_max_hi_25p,11
930_10_max_hi_50p,1
930_10_max_hi_100p,0
930_10_max_low_10p,53
930_10_max_low_25p,2
930_10_max_low_50p,0
930_10_max_low_100p,0
10_4_never_broke_pre,64
10_4_never_broke_open,59
10_4_always_gt_open,8
10_4_always_lt_open,33
10_4_crosses_open,58
10_4_closed_up,27
10_4_max_hi_10p,43
10_4_max_hi_25p,19
10_4_max_hi_50p,8
10_4_max_hi_100p,2
10_4_max_low_10p,69
10_4_max_low_25p,20
10_4_max_low_50p,1
10_4_max_low_100p,0
930_1030_never_broke_pre,59
930_1030_never_broke_open,64
930_1030_always_gt_open,0
930_1030_always_lt_open,0
930_1030_crosses_open,100
930_1030_closed_up,35
930_1030_max_hi_10p,57
930_1030_max_hi_25p,20
930_1030_max_hi_50p,4
930_1030_max_hi_100p,1
930_1030_max_low_10p,63
930_1030_max_low_25p,7
930_1030_max_low_50p,0
930_1030_max_low_100p,0
1030_4_never_broke_pre,67
1030_4_never_broke_open,63
1030_4_always_gt_open,11
1030_4_always_lt_open,42
1030_4_crosses_open,45
1030_4_closed_up,27
1030_4_max_hi_10p,43
1030_4_max_hi_25p,15
1030_4_max_hi_50p,4
1030_4_max_hi_100p,1
1030_4_max_low_10p,61
1030_4_max_low_25p,18
1030_4_max_low_50p,0
1030_4_max_low_100p,0
930_11_never_broke_pre,58
930_11_never_broke_open,60
930_11_always_gt_open,0
930_11_always_lt_open,0
930_11_crosses_open,100
930_11_closed_up,31
930_11_max_hi_10p,60
930_11_max_hi_25p,22
930_11_max_hi_50p,6
930_11_max_hi_100p,1
930_11_max_low_10p,66
930_11_max_low_25p,10
930_11_max_low_50p,0
930_11_max_low_100p,0
11_4_never_broke_pre,70
11_4_never_broke_open,67
11_4_always_gt_open,13
11_4_always_lt_open,47
11_4_crosses_open,38
11_4_closed_up,30
