open,high,low,close,volume,datetime,symbol,date_only,close_yesterday,gap_percent,max_up_percent,max_down_percent,DATA_MISSING_5MIN,daily_open,daily_high,daily_high_time,daily_high_touch,daily_low,daily_low_time,daily_low_touch,daily_close,first_15_open,first_15_high,first_15_high_time,first_15_high_touch,first_15_low,first_15_low_time,first_15_low_touch,first_15_close,945_close_open,945_close_high,945_close_high_time,945_close_high_touch,945_close_low,945_close_low_time,945_close_low_touch,945_close_close,DATA_MISSING_STATS,max_down_15_close,max_gain_15_close,first_15_low_is_lowest_of_day,float,shares,market_cap,DATA_MISSING_FINVIZ
0.003,0.003,0.003,0.003,90000,2021-01-27 06:00:00,AADI,2021-01-27,0.002,50.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.87,20.87,0.04,
7.16,7.18,5.5,6.12,36771603,2021-01-13 06:00:00,ACOR,2021-01-13,4.24,68.86792452830188,0.2793296089385415,23.18435754189944,,6.7101,7.18,09:30:00,1.0,5.5,12:35:00,1.0,6.19,6.7101,7.18,09:30:00,1.0,6.23,09:45:00,1.0,6.3,6.3,6.98,13:55:00,1.0,5.5,12:35:00,1.0,6.19,,0.1269841269841269,0.107936507936508,True,9.99,9.99,42.36,
14.05,19.95,13.29,18.83,114362153,2021-01-19 06:00:00,ACRS,2021-01-19,5.88,138.94557823129256,41.99288256227757,5.409252669039157,,13.72,19.95,15:15:00,1.0,13.29,09:40:00,1.0,17.69,13.72,15.5,09:30:00,1.0,13.29,09:40:00,1.0,13.61,13.6199,19.95,15:15:00,1.0,13.31,09:45:00,1.0,17.69,,0.0220426157237324,0.4658339456282145,False,53.97,53.97,317.34,
2.33,2.34,1.71,1.79,207315030,2021-01-22 06:00:00,ADMP,2021-01-22,1.27,83.46456692913385,0.429184549356214,26.609442060085843,,2.115,2.34,09:30:00,1.0,1.71,11:30:00,1.0,1.76,2.115,2.34,09:30:00,1.0,1.89,09:45:00,1.0,1.92,1.925,2.08,09:45:00,1.0,1.71,11:30:00,1.0,1.76,,0.1093749999999999,0.0833333333333334,True,148.89,148.89,189.09,
16.614,18.87,12.51,12.94,4215092,2021-01-21 06:00:00,ADXN,2021-01-21,10.6251,56.36558714741509,13.578909353557242,24.70205850487541,,17.1486,18.87,09:30:00,1.0,12.51,15:55:00,1.0,12.67,17.1486,18.87,09:30:00,1.0,13.63,09:45:00,1.0,15.11,15.05,15.5599,09:50:00,1.0,12.51,15:55:00,1.0,12.67,,0.172071475843812,0.0297749834546658,True,7.26,7.26,77.14,
1.45,1.75,1.0,1.04,188532910,2021-01-06 06:00:00,AIKI,2021-01-06,0.8525,70.08797653958943,20.6896551724138,31.034482758620687,,1.505,1.75,09:40:00,1.0,1.0,14:45:00,1.0,1.04,1.505,1.75,09:40:00,1.0,1.32,09:30:00,1.0,1.615,1.62,1.69,09:45:00,1.0,1.0,14:45:00,1.0,1.04,,0.3808049535603715,0.0464396284829721,True,89.6,89.6,76.38,
4.77,5.47,3.15,3.21,14977579,2021-02-01 06:00:00,ALYA,2021-02-01,2.51,90.0398406374502,14.675052410901472,33.96226415094339,,4.52,5.47,09:40:00,1.0,3.15,13:25:00,2.0,3.15,4.52,5.47,09:40:00,1.0,3.97,09:45:00,1.0,4.03,4.03,4.7703,09:45:00,1.0,3.15,13:25:00,2.0,3.15,,0.2183622828784119,0.1836972704714639,True,83.88,83.88,210.54,
20.34,20.36,11.01,19.9,1253253552,2021-01-27 06:00:00,AMC,2021-01-27,4.96,310.0806451612903,0.0983284169124856,45.87020648967552,,16.07,20.36,09:30:00,1.0,11.01,10:00:00,1.0,19.17,16.07,20.36,09:30:00,1.0,14.55,09:45:00,1.0,14.6201,14.61,19.94,16:00:00,1.0,11.01,10:00:00,1.0,19.17,,0.2469271756007141,0.3638757600837203,True,550.36,550.36,2729.79,
14.31,16.0,11.6,13.26,602193320,2021-01-29 06:00:00,AMC,2021-01-29,8.63,65.81691772885283,11.809923130677843,18.937805730258567,,13.4501,16.0,09:30:00,1.0,11.6,14:20:00,2.0,12.96,13.4501,16.0,09:30:00,1.0,12.81,09:40:00,1.0,13.3715,13.37,15.98,12:05:00,1.0,11.6,14:20:00,2.0,12.96,,0.1324832666492165,0.195079086115993,True,550.36,550.36,4749.61,
7.12,11.0,6.86,8.8,63632957,2021-01-25 06:00:00,AMTX,2021-01-25,4.4,61.81818181818181,54.49438202247191,3.651685393258424,,7.4438,11.0,13:30:00,1.0,6.86,10:05:00,2.0,8.53,7.4438,7.76,09:35:00,1.0,7.0,09:30:00,1.0,7.11,7.1,11.0,13:30:00,1.0,6.86,10:05:00,2.0,8.53,,0.0351617440225035,0.5471167369901546,True,30.92,30.92,136.05,
