open,high,low,close,volume,datetime,symbol,date_only,close_yesterday,gap_percent,max_up_percent,max_down_percent,daily_open,daily_high,daily_high_time,daily_high_touch,daily_low,daily_low_time,daily_low_touch,daily_close,first_15_open,first_15_high,first_15_high_time,first_15_high_touch,first_15_low,first_15_low_time,first_15_low_touch,first_15_close,945_close_open,945_close_high,945_close_high_time,945_close_high_touch,945_close_low,945_close_low_time,945_close_low_touch,945_close_close,DATA_MISSING_STATS,DATA_MISSING_5MIN,max_down_15_close,max_gain_15_close,first_15_low_is_lowest_of_day
25.95,26.25,23.35,25.02,24262437,2021-03-09 06:00:00,ACAD,2021-03-09,45.78,-43.31585845347313,1.1560693641618525,10.019267822736024,24.5,26.25,09:30:00,1.0,23.35,10:30:00,1.0,24.79,24.5,26.25,09:30:00,1.0,23.65,09:45:00,1.0,24.24,24.26,25.06,16:00:00,1.0,23.35,10:30:00,1.0,24.79,,,0.0367161716171616,0.03382838283828384,True
2.1,2.28,2.06,2.13,19557816,2021-08-26 05:00:00,ADTX,2021-08-26,3.04,-30.92105263157895,8.571428571428557,1.9047619047619064,2.165,2.28,09:40:00,1.0,2.06,10:00:00,1.0,2.12,2.165,2.28,09:40:00,1.0,2.08,09:30:00,1.0,2.21,2.21,2.25,09:45:00,1.0,2.06,10:00:00,1.0,2.12,,,0.06787330316742078,0.018099547511312233,True
1.22,1.52,1.2,1.39,8844738,2021-11-12 06:00:00,ADTX,2021-11-12,1.81,-32.59668508287293,24.59016393442624,1.6393442622950836,1.2759,1.52,09:50:00,1.0,1.2,09:30:00,1.0,1.38,1.2759,1.4692,09:45:00,1.0,1.2,09:30:00,1.0,1.43,1.43,1.52,09:50:00,1.0,1.36,09:45:00,3.0,1.38,,,0.04895104895104884,0.062937062937063,False
4.34,4.46,3.78,3.83,39390945,2021-04-29 05:00:00,ADVM,2021-04-29,10.16,-57.28346456692913,2.7649769585253483,12.903225806451616,4.33,4.46,09:35:00,1.0,3.78,15:40:00,1.0,3.87,4.33,4.46,09:35:00,1.0,4.08,09:40:00,2.0,4.08,4.09,4.18,10:10:00,1.0,3.78,15:40:00,1.0,3.87,,,0.07352941176470594,0.02450980392156854,True
4.0,4.22,3.95,4.16,10366790,2021-05-11 05:00:00,AEI,2021-05-11,6.34,-36.90851735015773,5.499999999999994,1.2499999999999956,4.0004,4.22,15:05:00,2.0,3.95,09:30:00,1.0,4.17,4.0004,4.19,09:35:00,1.0,3.95,09:30:00,1.0,3.9897,3.98,4.22,15:05:00,2.0,3.96,09:45:00,3.0,4.17,,,0.00744416873449133,0.05772363836879959,False
2.21,2.32,2.16,2.21,13046779,2021-07-28 05:00:00,AEI,2021-07-28,3.41,-35.19061583577713,4.977375565610855,2.262443438914019,2.275,2.32,09:35:00,1.0,2.16,12:50:00,1.0,2.2,2.275,2.32,09:35:00,1.0,2.19,09:30:00,1.0,2.265,2.265,2.29,09:50:00,1.0,2.16,12:50:00,1.0,2.2,,,0.04635761589403972,0.011037527593818946,True
4.75,4.9,3.65,4.61,3694807,2021-07-08 05:00:00,AGRI,2021-07-08,7647.1,-99.93788494985029,3.157894736842113,23.15789473684211,3.8,4.9,10:45:00,1.0,3.65,10:55:00,1.0,4.75,,,,,,,,,3.8,4.9,10:45:00,1.0,3.65,10:55:00,1.0,4.75,True,,,,False
3.06,3.27,2.79,2.86,18752887,2021-05-05 05:00:00,AHT,2021-05-05,30.1,-89.83388704318938,6.862745098039214,8.823529411764707,2.9589,3.27,11:40:00,2.0,2.81,15:20:00,1.0,2.86,2.9589,3.07,09:45:00,1.0,2.88,09:35:00,1.0,3.015,3.02,3.27,11:40:00,2.0,2.81,15:20:00,1.0,2.86,,,0.06799336650082921,0.08457711442786066,True
15.97,16.0115,13.13,13.13,24501756,2021-10-08 05:00:00,ALLO,2021-10-08,24.38,-34.4954881050041,0.2598622417031996,17.78334376956794,14.855,16.05,09:30:00,1.0,13.13,16:00:00,1.0,13.2,14.855,16.05,09:30:00,1.0,14.0,09:40:00,2.0,14.448,14.42,14.59,09:50:00,1.0,13.13,16:00:00,1.0,13.2,,,0.0912236987818383,0.009828349944628978,True
10.705,11.5,9.6,9.85,18633358,2021-06-30 05:00:00,ALT,2021-06-30,15.9,-32.672955974842765,7.426436244745446,10.32227930873424,10.8545,11.5,09:45:00,1.0,9.6,14:05:00,1.0,9.9,10.8545,11.5,09:45:00,1.0,10.46,09:35:00,1.0,11.1,11.08,11.5,09:45:00,1.0,9.6,14:05:00,1.0,9.9,,,0.13513513513513514,0.03603603603603607,True
